ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,28,1.8002,10,6,3,137.82,159.72093960700002,398.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7196318142273948,1104.42478408,20.148053602125593,14.2337351999,15.050231780799999,13.348173775453851,7.90053220636,9.38369545396,5.55407587975,7.23647812116,3.5760999299300003,4.94673485916,2.21209072187,3.22040536635,-3.79,18.9850186655,7.8418437051,4.48292935193,3,9,5.1065273948400005,11.3909673079,5.78324494636,0.0,10.0232911534,5.969305287949999,14.9424234456,18.1963126893,5.10140752574,0.0,6.06636706846,54.6262627313,6.1968435716100005,16.294554753,23.1133987473,38.992775443,0.0,4.98397852095,5.10140752574,4.89548347552,10.1478862616,72.46257790140001,0.0,0.0,10.1478862616,11.5052490525,0.0,0.0,35.9725381372,19.6123655216,0.0,0.0,82.45946890270001,0.0,0.0,0.0,0.0,-3.7879879036924935,0.0,0.0,0.0,0.0,0.0,0.0,24.69059408095594,58.68072715606988,1,0,0,0,0,1,0,0,1,1,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,12,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,1.7696,4,2,3,58.2,110.000261083,252.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2308361050041707,583.608538383,13.294682450997078,10.0899992728,10.0899992728,9.232017366004005,5.97961549551,5.97961549551,4.390299098030001,4.390299098030001,3.28228975833,3.28228975833,2.40467507882,2.40467507882,-2.62,11.4692641266,4.24235707605,1.68863556981,2,4,5.316788604009999,0.0,5.53892525238,0.0,5.907179729349999,6.031114512339999,10.1113257881,4.794537184069999,0.0,0.0,60.6636706846,11.126902983399999,0.0,0.0,9.589074368139999,11.938294241700001,0.0,10.633577208,0.0,5.53892525238,0.0,71.79057366800001,0.0,0.0,10.633577208,4.794537184069999,0.0,0.0,11.938294241700001,10.3334624365,0.0,11.126902983399999,60.6636706846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.91666666666667,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,2,12,0,0,0,0,0,0,0,0,61,6,61,0,0,1,18,0,0,61,0,0,0,0,0,0,0,0,0,0,0,47,6,47,0,0,1,9,0,0,47,0,0,0,0,0,0,0,0,0,0,0,24,5,24,0,0,0,2,0,0,24,0,0,0,0,0,1
17,13,0.3506,4,3,1,72.72,76.4587929029,183.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.835168262488178,288.188345085,9.844934982691242,7.358148644439999,7.358148644439999,6.147065707741407,3.9939231726099997,3.9939231726099997,2.82162703449,2.82162703449,1.78171707627,1.78171707627,1.05893100661,1.05893100661,-1.26,9.825178875639999,4.11256465855,2.33608141062,4,4,20.6363707885,0.0,11.499023666600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846,24.7438576113,6.544756405909999,6.10396638775,15.3195821845,0.0,0.0,5.316788604009999,0.0,6.10396638775,13.592428388599998,23.762552697100002,0.0,11.499023666600001,5.316788604009999,0.0,11.499023666600001,0.0,28.912010573099998,0.0,0.0,11.6674178794,18.199101205399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.333333333333336,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,6,0,1,0,5,1,5,0,1,15,10,15,0,5,2,6,0,1,15,0,5,0,0,0,0,4,0,4,0,0,13,5,13,0,3,1,5,0,0,13,0,3,0,0,0,0,3,0,3,0,0,5,2,5,0,0,1,4,0,0,5,0,0,0,0,0,0
21,20,2.3949,5,0,5,53.99,118.37011434899999,282.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837117533356764,451.54482686800003,14.120955864630142,12.256419923,12.256419923,9.461779516509587,7.71305791903,7.71305791903,7.135665932789999,7.135665932789999,5.973959377509999,5.973959377509999,4.76219469935,4.76219469935,-0.65,13.0436174046,3.95962278386,1.46065332734,0,5,9.4737259076,0.0,5.60105081098,12.0771378819,0.0,5.969305287949999,4.794537184069999,9.775141906510001,0.0,0.0,13.847474399400001,32.1041081146,18.2566337152,5.91790604616,24.043404998200003,5.969305287949999,0.0,0.0,23.6716241846,64.1326867837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6474939808,24.043404998200003,23.6716241846,46.4544980908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.83333333333334,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27,23,-0.7976,10,7,2,151.14,131.34059647,324.341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8360165118449852,737.630238332,16.98276318419594,12.982705637899999,12.982705637899999,10.896754605515328,7.10416805023,7.10416805023,5.313412382769999,5.313412382769999,3.2015443421099996,3.2015443421099996,1.8118106935,1.8118106935,-2.46,16.9027808254,7.20121792026,4.04725265658,5,10,25.9250393829,25.0267167619,5.51670071762,5.94833928099,0.0,11.528572183,14.1561740159,4.98397852095,4.98397852095,0.0,13.847474399400001,5.91790604616,0.0,12.9342020393,14.268263091700002,23.0815225073,0.0,19.5190352106,11.6515735233,26.620131976,18.9474314062,16.6811241539,0.0,0.0,17.026601849400002,5.94833928099,0.0,0.0,44.743945256800004,20.9990798392,5.91790604616,13.847474399400001,11.1218572588,0.0,11.163877938399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565920519442345,59.43407948055765,0,0,0,1,0,4,1,0,0,0,1,1,0,0,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,9,5,3,0,6,9,16,7,2,0,9,36,19,1,0,10,7,2,0,5,1,0,1,0,0,11,7,10,4,2,0,5,32,16,0,0,10,5,1,0,4,1,0,1,0,0,10,1,5,2,1,0,3,20,8,0,0,8,3,1,0,2,0,0,1,0,0,8,0
47,40,-2.5899,15,4,3,227.69,227.74447441799998,557.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8716825627963196,1323.23166938,29.39661226763952,21.8295311762,21.8295311762,18.93846850117352,12.4590948924,12.4590948924,9.29784434783,9.29784434783,6.13577659559,6.13577659559,3.97657023833,3.97657023833,-4.95,29.603688800000004,13.215672489000001,8.0229286465,8,15,41.991237539800004,24.1673633166,0.0,35.443078376100004,0.0,5.969305287949999,33.5617602885,0.0,0.0,0.0,18.199101205399998,25.477292959499998,23.5205901266,19.5103344348,38.6682876833,52.315308596099996,0.0,36.884710145,0.0,50.8564809618,13.0895128118,36.0257633372,0.0,0.0,31.900731624000002,0.0,0.0,0.0,88.7597657083,39.9825819114,0.0,25.831747514,30.4623118455,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5,1,0,0,0,0,1,1,0,1,1,7,6,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,9,3,0,8,0,1,1,3,0,36,2,33,0,0,17,26,10,0,29,3,0,3,0,0,3,0,0,1,1,0,35,2,32,0,0,9,15,6,0,25,2,0,3,0,0,3,0,0,0,1,0,21,2,18,0,0,0,7,2,0,12,0,0,3,0,0,0
57,44,-3.0983,17,16,2,270.78,250.981602597,616.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8514379240639842,1422.95403684,32.97396253682914,24.3151297359,24.3151297359,20.670519308742406,13.451894172200001,13.451894172200001,9.892148722630001,9.892148722630001,6.230274478609999,6.230274478609999,3.9307911376699995,3.9307911376699995,-5.48,34.7198680523,16.2339966697,11.0684795153,10,17,47.724905017,24.1673633166,0.0,41.350258105500004,0.0,5.969305287949999,38.356297472600005,0.0,0.0,0.0,18.199101205399998,25.477292959499998,30.4443273263,19.5103344348,43.462824867399995,58.2224883255,0.0,36.884710145,5.73366747716,57.780218161499995,13.0895128118,36.0257633372,0.0,0.0,37.634399101199996,0.0,0.0,0.0,94.6669454376,44.777119095500005,0.0,32.7554847137,30.4623118455,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.16666666666666,1,0,0,0,0,1,1,0,1,1,8,7,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,3,0,10,0,3,0,1,0,36,11,33,0,0,15,17,5,0,28,3,0,3,0,0,3,0,2,0,1,0,35,11,32,0,0,9,11,3,0,25,3,0,3,0,0,2,0,0,0,1,0,21,7,18,0,0,0,6,1,0,12,2,0,3,0,0,0
68,43,4.53124,10,12,4,164.38,249.21537079900003,584.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8045680576138419,1705.94961328,31.58469300083838,24.7865688979,24.7865688979,20.35268206354662,13.933577908499998,13.933577908499998,10.7156898672,10.7156898672,8.11370142156,8.11370142156,5.611343206310001,5.611343206310001,-5.12,30.829751264699997,12.399242991300001,6.227778001830001,6,10,30.8145890396,0.0,0.0,0.0,11.814359458699998,11.938610575899999,19.178148736300002,0.0,0.0,0.0,25.309911580900003,80.5155427551,64.4545297514,5.69703931306,29.391203525999998,35.9050102483,0.0,20.6015342499,0.0,59.7990569134,0.0,104.025926273,0.0,0.0,10.633577208,0.0,0.0,0.0,43.9339818662,38.440613605100005,13.847474399400001,71.7186355914,58.996408327299996,0.0,12.1520402137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.5,2,0,0,0,0,2,2,0,2,2,4,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,47,0.5555,14,16,3,228.46,272.247595349,653.7330000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7525265583452554,1417.33819847,34.6726331495784,26.425695900100003,26.425695900100003,22.25983570621944,15.5000711412,15.5000711412,11.979721293199999,11.979721293199999,7.97167217598,7.97167217598,5.39183968954,5.39183968954,-4.98,36.487766809600004,17.079938431,10.8072315272,8,14,41.9035252046,29.916875149899997,0.0,23.628718917399997,0.0,11.938610575899999,23.9726859204,4.794537184069999,0.0,0.0,56.312043878599994,54.8608296582,19.3863996518,6.04184082915,44.086805289,35.5673294933,0.0,20.8502755429,11.6515735233,82.5816082827,6.544756405909999,65.7242065995,0.0,5.749511833280001,21.684033289200002,0.0,5.749511833280001,0.0,92.54078196030001,41.608866350300005,5.91790604616,50.657663874499995,54.5973036162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.00000000000003,2,0,0,0,0,0,0,1,2,2,6,4,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,8,19,6,1,11,4,2,15,8,0,30,4,31,0,0,12,49,13,2,53,6,0,15,0,0,6,2,1,8,5,0,29,4,29,0,0,8,33,8,1,38,4,0,12,0,0,5,2,0,5,2,0,19,2,19,0,0,1,13,3,0,21,2,0,7,0,0,0
96,30,4.0119,9,14,1,95.94,187.214108425,461.38599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9618475194193112,704.637179417,22.51829709012867,17.456711406300002,18.9685692983,14.294131415482815,10.051222064400001,10.8071510105,6.9660944902,7.78049474368,4.55183991435,5.29086919309,2.9091293728,3.20722055443,-1.83,26.2054987575,14.223290038499998,9.323156012430001,2,7,20.0600886835,6.04184082915,0.0,5.907179729349999,5.907179729349999,5.969305287949999,14.3836115522,0.0,0.0,0.0,42.967260226,37.4615660742,38.7904654322,10.0452666275,24.227001900900003,40.985544527100004,0.0,10.2166983349,0.0,51.4905077664,26.8061923176,33.8078193246,0.0,0.0,5.316788604009999,0.0,0.0,23.2018797805,60.6381350191,14.3259373219,0.0,55.806655613000004,18.199101205399998,10.0452666275,0.0,0.0,0.0,11.863964977556671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19159057799887,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,6,3,12,3,0,0,2,3,9,0,0,15,4,20,0,0,3,19,0,0,34,0,0,1,0,0,0,0,2,3,0,0,14,2,14,0,0,3,12,0,0,22,0,0,1,0,0,0,0,0,2,0,0,6,0,6,0,0,1,5,0,0,11,0,0,1,0,0,0
