ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
1,32,-0.2445,11,4,4,190.28,179.107049039,448.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7199622065962419,1202.30554775,23.15397158052024,16.3214480726,16.3214480726,15.188779603399606,9.4969144937,9.4969144937,7.309057749039999,7.309057749039999,5.14399081014,5.14399081014,3.42934938302,3.42934938302,-3.35,21.8659056026,8.297053169389999,3.8312134650300003,7,11,49.636568608500006,52.6443809925,16.927814058499997,6.29002672934,0.0,0.0,4.794537184069999,0.0,0.0,0.0,0.0,18.199101205399998,23.762552697100002,6.606881964509999,49.636568608500006,10.969244356099999,0.0,0.0,0.0,30.705892280300002,6.606881964509999,46.621529986700004,0.0,34.3217462437,10.165653345700001,0.0,22.9980473331,0.0,73.0584660087,4.7368629538,0.0,0.0,45.60989053189999,0.0,22.2929432667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.676076651339548,88.99059001532713,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,7,12,0,0,20,19,17,17,0,0,91,33,79,0,0,9,15,0,0,46,0,0,0,0,0,16,13,13,11,0,0,70,18,59,0,0,7,9,0,0,33,0,0,0,0,0,9,10,7,8,0,0,30,8,23,0,0,5,7,0,0,15,0,0,0,0,0,0
2,48,3.8223,14,7,7,156.89,282.897610649,693.8480000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1880998626320385,1877.32519697,33.63081678632151,26.8853899308,28.5183830927,23.074485737975355,16.4279074562,18.8538797454,13.2807210907,16.1360965577,9.92074291669,12.535331778900002,6.931193206939999,8.89273007705,-4.04,32.5043413177,12.770418026400002,6.39010113028,2,12,19.6904242425,33.843466998400004,0.0,21.8376506121,5.907179729349999,0.0,19.105706416700002,18.385754026199997,0.0,11.336785877899999,12.1520402137,63.499307120299996,48.6061991282,29.7122483812,32.2751344441,49.9845411515,0.0,24.906750241199997,17.7537181385,68.2594026535,20.7022259299,47.994414829600004,0.0,22.2005753583,19.5126093761,0.0,11.499023666600001,11.336785877899999,78.6022585451,24.4069027056,17.7537181385,51.366572983400005,47.994414829600004,0.0,21.6044766238,0.0,0.0,-2.3637616437141107,0.0,0.0,0.0,0.0,0.0,0.0,25.422474822548327,91.10795348783245,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9,15,3,12,0,0,9,29,4,21,0,0,91,1,34,0,0,2,7,0,0,26,0,0,0,0,0,7,20,2,16,0,0,65,0,27,0,0,1,5,0,0,21,0,0,0,0,0,4,10,1,8,0,0,33,0,14,0,0,0,1,0,0,11,0,0,0,0,0,0
3,24,1.5833,7,3,4,74.57,137.043070936,331.347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9485981247024464,882.760256897,16.844570503761734,13.0881436043,13.0881436043,11.558550648063806,8.13388326683,8.13388326683,6.37331203403,6.37331203403,4.72911036073,4.72911036073,3.31385757343,3.31385757343,-2.41,15.137295119400001,5.59217259901,2.4478616810599996,2,6,19.8903253775,11.3806723327,0.0,5.428790391900001,0.0,5.969305287949999,4.794537184069999,9.18495223175,0.0,0.0,0.0,24.974377382800004,43.803934238900005,11.2040869923,14.291479626600001,22.5596164947,0.0,9.8838882518,0.0,18.883484075,31.078935354499997,39.9335776173,0.0,0.0,15.6454887268,10.077801322400001,0.0,0.0,41.8219579542,0.0,5.81722084105,29.2414727508,23.1241148926,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.432410478080122,46.06758952191989,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10,2,7,3,1,3,12,0,8,0,0,42,3,30,0,3,0,9,0,0,19,0,3,1,0,0,2,10,0,6,0,0,33,1,22,0,1,0,5,0,0,14,0,1,1,0,0,1,6,0,3,0,0,15,0,8,0,0,0,1,0,0,5,0,0,1,0,0,0
4,24,2.1956,9,5,3,84.42,140.99719446,350.375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7128553217341904,753.1823681610001,17.10408352775558,12.8606701109,13.6771666918,11.57971869811898,7.390874402250001,8.27052721351,5.18203526044,6.01525436258,3.57688149124,4.301394897180001,2.32711989388,2.9080365131200003,-2.55,16.3127893127,6.914173598680001,3.3509566998699998,1,7,10.0536515578,22.439350199299998,0.0,5.907179729349999,0.0,6.093240070939999,9.69444691492,9.18495223175,0.0,10.197363616599999,18.2605230776,18.199101205399998,11.9842731146,18.776899086500002,18.7163523696,29.0245919529,0.0,15.5141522206,0.0,19.4485252104,17.989422542699998,29.52686132,0.0,10.5710751885,10.2166983349,14.8723385064,0.0,11.336785877899999,41.3912626165,9.53140013787,5.81722084105,13.3445588226,23.709640479,0.0,10.5710751885,0.0,0.0,1.232975214475207,0.0,0.0,0.0,0.0,0.0,0.0,14.293820599444249,48.13987085274723,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1,7,0,0,4,12,0,7,0,0,50,3,30,0,0,0,2,0,0,15,0,0,0,0,0,2,12,0,7,0,0,42,0,24,0,0,0,2,0,0,11,0,0,0,0,0,1,9,0,4,0,0,22,0,11,0,0,0,1,0,0,3,0,0,0,0,0,1
5,34,1.66202,13,10,3,147.18,194.57799827,495.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.708810311698684,1205.20527008,24.880104409694468,19.0492712783,19.9436984693,16.135179351320055,10.2356462087,11.7783049192,7.36265376278,9.05656188112,4.82492586922,6.468617926,3.02064995936,4.522779772380001,-3.18,25.4431430204,10.8311968397,6.23326241066,2,12,18.7343360231,23.6448308835,6.227901170730001,0.0,5.55926689505,19.4055371172,23.6638996986,9.359585468999999,5.08729506308,0.0,6.076020106830001,44.1889627801,11.7602950633,20.8264770471,32.6176686538,13.715793719,0.0,14.638373231800001,0.0,32.221182787,20.8264770471,69.0158882122,0.0,11.499023666600001,25.5969154718,0.0,11.499023666600001,7.746488431,48.4926677207,23.3570585383,6.92373719969,18.7150898621,52.203426427299995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.792485217119133,65.01307033843642,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,7,0,0,17,12,3,12,0,0,30,12,15,0,0,1,0,0,0,15,0,0,0,0,0,10,9,2,9,0,0,28,12,13,0,0,1,0,0,0,13,0,0,0,0,0,5,4,1,4,0,0,17,8,7,0,0,1,0,0,0,7,0,0,0,0,0,0
6,32,0.1422,11,4,4,187.12,178.47433738599997,446.36400000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7654303329684948,1219.88326667,23.15397158052024,16.1527262556,16.1527262556,15.184448305750033,9.36053717867,9.36053717867,7.1389194410000005,7.1389194410000005,5.04600122136,5.04600122136,3.3781871576899998,3.3781871576899998,-3.64,21.586702415700003,8.1289475337,3.62777042751,6,11,44.5300412137,35.0413909382,23.0317804462,12.0395385626,0.0,5.969305287949999,4.794537184069999,4.794537184069999,0.0,0.0,30.3318353423,0.0,17.6961856286,0.0,49.324578397799996,16.9385496441,0.0,0.0,0.0,30.705892280300002,0.0,52.687897055200004,0.0,28.5722344104,10.165653345700001,0.0,17.2485354999,0.0,67.31436193729999,9.53140013787,0.0,0.0,51.6762576004,0.0,22.2929432667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.680780187074829,90.48588647959184,1,3,3,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,6,12,3,0,29,27,25,17,5,0,99,28,66,2,0,12,6,3,0,53,2,0,1,0,0,21,15,18,8,5,0,72,17,46,0,0,8,2,3,0,38,0,0,1,0,0,12,6,11,3,3,0,32,9,22,0,0,6,1,2,0,19,0,0,0,0,0,0
7,15,1.4,3,2,2,44.48,89.4926027762,205.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.028556436186164,328.735172832,10.673362107437432,8.556619077999999,8.556619077999999,7.270856947829097,5.00149683195,5.00149683195,3.6499374389199994,3.6499374389199994,2.35244954712,2.35244954712,1.5077076391,1.5077076391,-1.16,10.3609203653,4.57283038502,2.4452338833300002,2,3,15.2073933848,0.0,6.29002672934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.910771025900004,5.5634514916999995,5.573104530069999,19.2556047582,9.4737259076,5.573104530069999,0.0,0.0,5.73366747716,12.331867558499999,13.213763929,42.474222517600005,0.0,0.0,5.73366747716,0.0,0.0,0.0,25.5456314875,9.4737259076,0.0,5.5634514916999995,36.910771025900004,0.0,5.573104530069999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,7,0,1,1,5,0,6,0,0,15,0,15,0,0,0,0,0,0,21,0,0,0,0,0,1,2,0,3,0,0,15,0,15,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,10,0,10,0,0,0,0,0,0,12,0,0,0,0,0,1
8,25,2.0925,4,0,7,32.78,146.975679552,334.41900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5524232297011884,848.052733716,16.336134335324463,14.2270671509,14.2270671509,12.287660258669831,9.75027258845,9.75027258845,8.77686148682,8.77686148682,8.2170252701,8.2170252701,7.50821806783,7.50821806783,-1.65,13.540220246199999,4.1831069865699995,1.3322788891500001,0,4,9.63677268465,0.0,0.0,5.907179729349999,0.0,0.0,9.69444691492,0.0,0.0,0.0,29.8482258423,36.9341242581,29.6068800253,25.173510804299998,9.53140013787,11.594566004,0.0,4.89990973085,11.8358120923,42.8651033842,24.5963045072,41.478044402399995,0.0,0.0,4.89990973085,5.687386274680001,0.0,0.0,48.6911322826,14.9463906073,11.8358120923,24.825916360500003,35.9145929107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.08333333333334,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,10,0,1,0,0,0,0,0,0,15,6,32,0,6,0,1,0,0,44,0,9,0,0,0,0,0,0,0,0,0,15,5,27,0,5,0,1,0,0,38,0,8,0,0,0,0,0,0,0,0,0,10,2,16,0,2,0,1,0,0,20,0,3,0,0,0,1
9,19,4.3641,5,4,2,49.33,120.330532044,296.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.355887944232104,593.8950014440001,13.828062645816686,9.8599494975,11.3718073895,9.07538740046941,5.58416940222,6.34009834824,3.9493209781300003,4.76372123161,2.58147208252,3.2114128708700003,1.7112313592500001,2.20316715896,-1.71,13.7154402,5.95440535342,3.39761695787,2,3,10.4233159988,0.0,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,47.467348054300004,23.762552697100002,5.687386274680001,22.153474525100002,9.90106457891,40.5459576178,0.0,0.0,0.0,6.42082162293,5.316788604009999,58.0732875984,0.0,0.0,5.316788604009999,11.374772549400001,0.0,23.2018797805,11.0758326828,11.215358807000001,0.0,5.5634514916999995,42.4645694792,10.0452666275,0.0,0.0,0.0,12.148457175051089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.073765047171136,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2,13,3,0,0,8,1,9,0,0,59,6,59,0,0,1,15,0,0,67,0,0,1,0,0,0,6,1,7,0,0,41,6,41,0,0,1,12,0,0,44,0,0,1,0,0,0,2,0,3,0,0,20,5,20,0,0,0,5,0,0,21,0,0,1,0,0,1
10,38,2.0163,8,12,3,121.6,222.770434039,514.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8489727990441645,1218.7747298,27.49298858481683,21.671182215500004,21.671182215500004,18.240091198415858,12.495022522200001,12.495022522200001,9.25076145609,9.25076145609,6.28930933648,6.28930933648,4.29175893033,4.29175893033,-4.46,28.116632763600002,13.7385653093,8.2981655304,4,8,21.267154416,18.1255224874,0.0,23.628718917399997,0.0,0.0,19.178148736300002,0.0,0.0,0.0,90.9955060269,16.6903544751,33.2338740511,0.0,19.178148736300002,23.628718917399997,0.0,15.533486938900001,5.73366747716,44.3117245559,7.04767198268,107.68586050200001,0.0,0.0,16.3672446852,0.0,0.0,0.0,53.7018231184,38.440613605100005,0.0,23.6140916748,90.9955060269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16666666666669,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,4,21,0,0,4,0,0,0,0,0,51,22,57,0,0,5,22,0,0,84,0,0,0,0,0,1,0,0,0,0,0,45,9,47,0,0,3,9,0,0,66,0,0,0,0,0,1,0,0,0,0,0,30,3,30,0,0,0,3,0,0,36,0,0,0,0,0,0
