ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,14,2.1826,1,4,1,3.24,86.7450569823,187.28599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4924781054434817,296.761643521,10.38890505706126,8.9028790422,8.9028790422,6.736382105218447,4.91370432922,4.91370432922,3.6579829407699997,3.6579829407699997,2.4670729357599996,2.4670729357599996,1.41087020169,1.41087020169,-1.26,10.8184929356,5.4659694947599995,3.23753866764,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.89990973085,0.0,0.0,6.4233498956199995,36.252269661199996,25.955682297,6.04184082915,6.544756405909999,0.0,0.0,0.0,4.89990973085,0.0,19.3863996518,13.592428388599998,35.895286834000004,0.0,12.343784214500001,0.0,0.0,0.0,0.0,24.5341789486,6.42082162293,12.343784214500001,12.487188691400002,30.3318353423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.500000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,8,0,1,0,0,0,0,0,0,15,0,15,0,0,0,6,0,0,24,0,1,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,3,0,0,18,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,11,0,1,0,0,0,0
1,34,4.4651,8,8,4,93.94,197.81058142900002,461.51800000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3100327485783698,1176.29052095,24.07877502244374,19.2447052411,19.2447052411,16.461060093480295,11.074402604300001,11.074402604300001,8.20708103241,8.20708103241,6.06592758452,6.06592758452,4.11222288766,4.11222288766,-3.91,23.254986724000002,10.3511789996,5.3472000167800005,1,8,14.790514511600001,0.0,11.499023666600001,0.0,11.594566004,0.0,19.8087651837,0.0,0.0,0.0,12.1327341369,65.9302001317,43.017841121000004,19.1429061314,19.1915741405,17.2819522787,0.0,4.89990973085,0.0,19.3863996518,32.6258964984,93.0317949202,0.0,11.499023666600001,14.790514511600001,11.374772549400001,11.499023666600001,0.0,43.0395084034,19.3863996518,10.1143182688,27.048343150900003,60.6636706846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.00000000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,22,0,1,1,14,1,17,0,1,71,7,92,0,3,0,17,0,0,107,0,3,0,0,0,1,11,0,12,0,0,49,6,64,0,2,0,11,0,0,78,0,2,0,0,0,0,5,0,6,0,0,25,2,33,0,0,0,3,0,0,39,0,0,0,0,0,1
2,32,2.9121799999999998,9,5,5,104.12,185.59651342200002,431.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2785702395164378,1187.76066196,22.07877502244374,17.9048109072,17.9048109072,15.652198343190413,11.1226343177,11.1226343177,8.43897736778,8.43897736778,6.616875426109999,6.616875426109999,4.8803688891000006,4.8803688891000006,-3.51,20.3958827296,8.55331206211,3.66916546194,0,9,9.46700937864,23.4299428228,5.81786277784,0.0,5.687386274680001,0.0,15.014227999600001,9.96795704189,5.26189155474,0.0,12.1327341369,31.246737983400003,57.0952005672,10.4867625405,4.92331104882,22.538650487800002,5.26189155474,19.4349664205,0.0,32.228042897600005,37.6236917604,57.5279375956,0.0,6.069221312790001,4.89990973085,11.5052490525,0.0,0.0,57.0820594989,19.3863996518,21.4454311363,29.6624742241,30.592788348600003,0.0,11.0334014352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2715132816495003,70.89515338501718,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,11,0,1,1,2,0,2,0,0,49,5,37,0,5,0,2,0,0,29,0,6,0,0,0,0,1,0,1,0,0,38,4,35,0,4,0,0,0,0,28,0,5,0,0,0,0,0,0,1,0,0,23,0,22,0,0,0,0,0,0,17,0,1,0,0,0,1
3,19,3.1295,4,1,3,41.46,115.48746551200001,270.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1951789491913214,665.100721354,13.242276208189782,10.0593352937,10.815264239700001,9.237183443017884,5.93521181033,6.31317628334,4.26894202948,4.70537780996,2.93882733962,3.17392444241,2.0899691527,2.26207217666,-2.13,11.9323267053,4.86030508303,2.3728325733099997,1,3,5.316788604009999,6.544756405909999,0.0,5.907179729349999,0.0,0.0,9.786941916710001,0.0,0.0,0.0,41.9327752325,18.199101205399998,16.1495362971,11.3990712775,4.794537184069999,28.907190897,0.0,0.0,4.99240473264,0.0,11.8615450099,64.6804728448,0.0,0.0,5.316788604009999,5.687386274680001,0.0,11.6009398902,18.163621138,4.794537184069999,0.0,11.126902983399999,53.523341280299995,5.02263331374,0.0,0.0,0.0,6.051393158086278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.05971795302482,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,0,0,0,5,0,5,0,0,54,0,54,0,0,0,0,0,0,54,0,0,0,0,0,0,2,0,2,0,0,33,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,1,0,0,18,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0
5,27,4.8302,3,10,3,15.71,164.495184115,366.54900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735119470509105,637.945453436,18.899130457682162,16.887732961199998,16.887732961199998,13.220346690612276,10.3784330262,10.3784330262,8.02987373225,8.02987373225,5.18721132535,5.18721132535,3.77836681314,3.77836681314,-1.84,19.9087945758,10.482776037,6.3690340402,0,3,9.63677268465,0.0,0.0,0.0,0.0,0.0,4.89990973085,0.0,0.0,0.0,62.3784109471,49.5452477325,25.383781051,12.6487227937,4.7368629538,5.687386274680001,0.0,4.89990973085,5.91790604616,39.2757148803,37.7479428776,66.2271221763,0.0,0.0,4.89990973085,5.687386274680001,0.0,0.0,43.7897837068,11.2816193597,5.91790604616,32.2525691369,60.6636706846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,15,0,1,0,2,0,2,0,0,54,11,54,0,11,0,0,0,0,55,0,11,0,0,0,0,0,0,0,0,0,39,7,39,0,7,0,0,0,0,40,0,7,0,0,0,0,0,0,0,0,0,24,4,24,0,4,0,0,0,0,25,0,4,0,0,0,1
6,30,-0.6225,14,7,3,173.51,177.623866692,455.474,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7717531184827242,972.9401472389999,21.999271042140986,15.7784553448,17.4114485067,14.239289860616427,8.40930246682,10.3377100681,6.09196134701,8.08663481962,4.1482910877900006,6.16181542035,2.8848927889700002,4.7599303135,-3.13,21.5758024044,8.70644843566,4.0887687779,4,12,25.7314350135,36.5233604558,10.8432434826,0.0,11.814359458699998,11.938610575899999,19.2835212831,9.77851570502,0.0,23.0986708273,5.15571272675,0.0,23.629758106999997,0.0,33.8591276687,57.6948843445,0.0,15.2006768558,5.15571272675,18.3394508418,25.203200589699996,22.3441346084,0.0,0.0,11.050456081199998,5.131558479840001,0.0,23.0986708273,75.3403174387,28.752600273800002,0.0,12.6176651945,21.8059193403,0.0,0.0,0.0,0.0,2.353390441957638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4799428913757,1,0,0,1,0,1,0,0,1,1,4,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,5,4,1,3,0,11,10,10,1,0,0,10,6,0,0,0,2,0,0,0,0,0,0,1,0,0,8,10,7,1,0,0,7,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,1,0,0,6,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1
7,28,2.2301,6,10,3,74.93,164.132199184,384.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9243744099686035,977.335447,19.93251065250177,16.3036570967,16.3036570967,13.706238560257372,9.73244397757,9.73244397757,6.85031260025,6.85031260025,5.11144967772,5.11144967772,3.7710770537,3.7710770537,-2.41,20.327498720799998,9.684333995680001,4.19172602129,2,6,19.5170173913,5.749511833280001,5.428790391900001,0.0,0.0,0.0,9.69444691492,0.0,0.0,0.0,18.199101205399998,43.6518679256,25.0204934322,36.74318712,14.949917743499999,21.805849864200002,0.0,9.46700937864,0.0,19.3863996518,39.957830688,52.687897055200004,0.0,5.749511833280001,10.165653345700001,0.0,5.749511833280001,0.0,59.6378948564,6.544756405909999,0.0,12.841643245899999,47.2591066633,0.0,21.805849864200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739343978332077,62.326065602166786,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,14,3,14,0,1,2,11,1,13,0,0,88,7,97,0,7,3,0,0,0,88,0,7,0,0,0,1,7,1,7,0,0,68,1,70,0,1,3,0,0,0,62,0,3,0,0,0,0,2,0,2,0,0,35,0,28,0,0,0,0,0,0,26,0,1,0,0,0,1
8,37,6.2189,6,11,4,53.62,219.738070051,496.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6281122784885496,1219.80475358,26.200095366003374,22.3623614796,22.3623614796,17.956728795830728,12.451913640799999,12.451913640799999,9.28371105701,9.28371105701,6.17362207995,6.17362207995,4.001360765,4.001360765,-3.87,26.200342213000003,12.390064228,6.669786670880001,1,6,24.257523890199998,5.824404498,0.0,0.0,0.0,0.0,0.0,4.98397852095,0.0,0.0,60.682976761400006,29.8289197655,63.365612496400004,31.2085018832,9.4737259076,17.450792656199997,0.0,9.96795704189,0.0,0.0,64.9209508272,84.4358764201,0.0,33.9026149628,9.7998194617,11.374772549400001,0.0,0.0,65.0890884074,9.4737259076,0.0,5.5634514916999995,78.87242492840001,0.0,39.9786350696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,23,2,20,0,5,1,15,1,14,0,2,168,16,152,0,37,1,25,0,2,101,0,27,0,0,10,1,11,1,10,0,2,112,12,98,0,29,1,18,0,2,62,0,21,0,0,8,0,6,1,4,0,2,52,5,46,0,14,1,7,0,2,34,0,8,0,0,6,1
9,28,2.8828,5,2,4,77.76,165.385602593,390.495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8376918794672799,802.424036584,20.698306133819766,16.9119461214,16.9119461214,12.96323339420858,10.2917645721,10.2917645721,9.92169690402,9.92169690402,8.88419946095,8.88419946095,7.338008414989999,7.338008414989999,-1.3,19.9923851308,5.866052475040001,2.02853556436,3,4,15.3195821845,12.2079327755,11.4520047651,0.0,0.0,0.0,4.794537184069999,4.3904150476699995,0.0,0.0,44.227574933599996,50.0159403138,16.747886985,6.10396638775,24.5045344163,5.78324494636,0.0,0.0,28.5836990773,63.8282751083,6.606881964509999,35.9532050642,0.0,0.0,0.0,4.3904150476699995,0.0,0.0,45.0834861129,4.794537184069999,28.5836990773,46.4544980908,35.9532050642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.940695940413207,53.89263739292014,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,0,0,9,0,6,0,0,0,0,0,0,0,0,3,0,0,0,21,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
10,37,4.6967,7,10,4,79.9,218.328758447,501.62699999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3302787444896098,1240.0739337999998,26.200095366003374,21.803456917600002,21.803456917600002,18.015901648346684,12.7564148161,12.7564148161,9.204581845489999,9.204581845489999,6.68538353006,6.68538353006,4.65131596399,4.65131596399,-3.84,26.229484689499998,12.4106887052,6.48570721745,2,7,20.1073031156,0.0,11.499023666600001,0.0,11.814359458699998,0.0,14.488984099000001,0.0,0.0,0.0,37.6100270965,65.9302001317,31.7424771153,25.4704328489,19.0628002757,17.5017457334,0.0,10.2166983349,0.0,32.7309584744,39.1706529043,88.4809281431,0.0,11.499023666600001,20.1073031156,5.687386274680001,11.499023666600001,0.0,50.5681334898,19.3863996518,0.0,50.7508906492,60.6636706846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.16666666666669,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,3,20,0,1,3,7,4,7,0,1,67,18,67,0,5,2,12,0,1,80,0,5,0,0,0,1,5,3,5,0,1,53,9,53,0,0,1,6,0,1,62,0,0,0,0,0,0,2,2,2,0,0,31,1,31,0,0,0,1,0,0,35,0,0,0,0,0,1
