ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
2,24,5.8014,6,6,3,27.05,155.302541674,381.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7958913326646333,788.533376257,16.94094682093905,12.701635424000001,14.969422262,11.614193540729628,7.38355865525,8.51745207428,5.3514246515699995,6.63149633925,3.6096520959400005,4.42405234942,2.36710950093,3.02328680273,-1.52,17.3078066128,8.037542511869999,4.5167948118300005,0,3,9.30396260159,6.10396638775,0.0,0.0,0.0,0.0,0.0,4.98397852095,0.0,0.0,53.001920876099994,29.8289197655,33.0250385761,19.4789584452,4.7368629538,34.8028196707,0.0,9.55107816874,0.0,19.2556047582,0.0,87.3803796218,0.0,0.0,0.0,0.0,0.0,34.8028196707,9.55107816874,17.8885013242,0.0,17.2308693711,61.185576697200005,15.067899941199999,0.0,0.0,0.0,18.27901220548842,0.0,0.0,0.0,0.0,0.0,0.0,1.9558176387839088,33.265170155727674,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,12,0,5,1,16,0,10,0,6,75,0,62,0,13,0,0,0,0,35,0,3,0,0,10,0,7,0,4,0,3,49,0,39,0,10,0,0,0,0,26,0,0,0,0,10,0,3,0,2,0,1,30,0,22,0,8,0,0,0,0,16,0,0,0,0,8,0
31,85,3.3975,23,15,3,273.79,504.618783534,1195.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3038968208189337,2488.3448176999996,64.4791515573647,54.2383390567,54.2383390567,39.76615495901503,30.3864778788,30.3864778788,24.775839566,24.775839566,16.8716978814,16.8716978814,11.245339223699998,11.245339223699998,-6.81,72.44907885159999,33.1909348364,19.0912812878,4,23,60.1403387087,54.0842384665,6.10396638775,53.1646175642,5.907179729349999,5.969305287949999,47.9453718407,4.794537184069999,0.0,0.0,108.05922377899999,85.810645597,54.7486943481,20.0753755701,62.2136349324,65.0411025815,0.0,50.666612801099994,35.507436277,195.8138496,61.982426672399995,29.8289197655,0.0,5.749511833280001,26.0040173698,0.0,5.749511833280001,0.0,210.86168066,63.8975936015,35.507436277,140.51778644799998,24.2654682738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.16666666666652,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,6,4,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,10,25,0,0,28,11,18,47,0,0,15,7,21,0,0,6,19,0,0,63,0,0,0,0,0,14,5,12,30,0,0,13,6,14,0,0,1,9,0,0,41,0,0,0,0,0,1,3,4,13,0,0,7,4,7,0,0,0,3,0,0,23,0,0,0,0,0,1
33,20,3.8174,2,0,4,37.3,119.748970884,270.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7284412573952104,576.78099632,13.905412915006313,12.062204188199999,12.062204188199999,9.593172145670254,7.94518679372,7.94518679372,7.21662609325,7.21662609325,6.41914168601,6.41914168601,5.3397866475699995,5.3397866475699995,-1.31,12.4321391709,4.09479256996,1.53776212312,1,2,5.1065273948400005,11.5327567796,0.0,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,12.9901042682,73.1174633734,11.8358120923,0.0,9.90106457891,5.78324494636,0.0,0.0,17.250802561700002,51.366572983400005,0.0,29.326004188800002,0.0,5.749511833280001,0.0,0.0,5.749511833280001,0.0,10.889772341199999,11.215358807000001,17.250802561700002,56.072654343900005,18.199101205399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.91666666666666,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,14,0,0,0,3,0,4,0,0,15,3,21,0,0,0,4,0,0,86,0,0,0,0,0,0,3,0,4,0,0,15,3,21,0,0,0,4,0,0,70,0,0,0,0,0,0,3,0,3,0,0,8,2,13,0,0,0,3,0,0,33,0,0,0,0,0,0
35,22,1.7737,7,2,3,64.43,125.67305725,303.293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1972538126479084,769.388319562,15.853006672199015,12.16796477,12.16796477,10.524075805453153,6.8129901823,6.8129901823,4.95302864009,4.95302864009,3.5174087204699997,3.5174087204699997,2.49410944749,2.49410944749,-2.7,14.2462408252,5.24974551659,2.1441705657099996,0,6,9.63677268465,12.144540915799999,5.69392799485,0.0,5.907179729349999,5.969305287949999,9.36163683186,14.1689307527,0.0,0.0,0.0,25.1228384051,7.04767198268,30.0964041317,18.7163523696,11.8764850173,0.0,14.450987899600001,0.0,13.468493605599999,13.6545539472,47.2949496026,0.0,5.687386274680001,0.0,4.3904150476699995,0.0,0.0,39.9820268641,11.2816193597,5.81722084105,33.4641190492,24.526421280100003,0.0,5.687386274680001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.095146214949606,44.07152045171707,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,6,0,5,7,32,3,19,0,13,49,5,39,0,10,0,6,0,0,15,0,0,0,0,10,5,22,2,11,0,11,36,5,26,0,10,0,4,0,0,13,0,0,0,0,10,2,12,1,6,0,6,16,2,9,0,7,0,0,0,0,7,0,0,0,0,7,0
48,36,5.1268,7,11,4,67.45,212.746194568,495.639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.402580739499915,1128.62682881,25.65612529163336,21.7977369648,21.7977369648,17.350575645948073,12.942655502000001,12.942655502000001,10.338389656799999,10.338389656799999,7.32327680737,7.32327680737,5.696736565069999,5.696736565069999,-2.77,26.297489128000002,11.977207186500001,6.31425411697,1,6,19.3576141594,24.352473691300002,0.0,0.0,0.0,5.969305287949999,0.0,14.1689307527,0.0,0.0,32.0465756048,80.2070113899,25.8693468333,11.0334014352,18.6586781393,17.0027067232,0.0,14.8678667727,11.8358120923,51.552633325,33.8538643003,65.2330978017,0.0,0.0,0.0,4.3904150476699995,0.0,0.0,60.7950027487,27.1099063375,17.6530329334,49.558331172799996,42.4645694792,0.0,11.0334014352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.044520897664983,64.95547910233503,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,3,20,0,6,4,18,3,34,0,5,51,14,77,0,23,2,9,0,6,97,0,33,0,0,13,3,13,1,17,0,3,49,10,65,0,19,1,8,0,4,75,0,23,0,0,11,1,6,1,5,0,2,28,7,29,0,12,1,3,0,2,38,0,12,0,0,6,1
49,42,5.773,9,10,5,92.89,242.187016637,569.633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3060617747083023,1835.16945699,29.802389661575326,23.915943094699998,23.915943094699998,20.320432100986995,13.4352253579,13.4352253579,10.0105327777,10.0105327777,7.2508304723100006,7.2508304723100006,5.067559431359999,5.067559431359999,-4.89,28.6319533404,12.319574024200001,5.7742954622800005,2,8,29.4112657172,11.5667326743,16.927814058499997,0.0,5.907179729349999,0.0,9.589074368139999,4.3904150476699995,0.0,0.0,24.2654682738,73.1263331367,18.475737026300003,48.999856039899996,23.3955410931,33.4004158682,0.0,9.8838882518,0.0,12.965578028800001,40.2386096164,105.527307714,0.0,17.2485354999,24.9561678573,10.077801322400001,17.2485354999,0.0,50.7128889936,12.965578028800001,5.81722084105,21.484891659200002,77.5909420056,0.0,21.805849864200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.363741225162409,84.96959210817091,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,26,3,25,0,1,5,38,4,34,0,1,148,20,133,0,4,1,18,0,0,130,0,4,0,0,0,4,33,3,29,0,0,100,17,86,0,3,0,12,0,0,83,0,3,0,0,0,1,16,2,14,0,0,48,6,42,0,1,0,5,0,0,38,0,1,0,0,0,1
51,40,4.783519999999999,9,14,4,96.46,237.295082767,543.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4599342889976563,1221.78874546,28.321415709563016,23.820164954699997,23.820164954699997,19.537069698401865,13.7662726732,13.7662726732,9.84651860654,9.84651860654,7.16110291968,7.16110291968,4.975091912230001,4.975091912230001,-4.11,28.886805079699997,14.3250772647,7.50532036495,3,9,30.324001450500003,11.499023666600001,0.0,17.845017843,0.0,0.0,0.0,0.0,14.9519355628,13.1578713672,36.4175084875,48.5884690576,50.7498959733,14.2195950826,9.4737259076,17.845017843,0.0,20.268724166800002,0.0,31.7251273209,62.47686405100001,84.46483553520001,0.0,11.499023666600001,30.324001450500003,17.845017843,11.499023666600001,0.0,67.9371535041,0.0,6.92373719969,35.449903767100004,67.7744810601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99999999999997,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,3,15,0,1,3,21,5,20,0,2,64,14,62,0,6,1,10,0,0,58,0,7,0,0,0,1,11,3,13,0,1,40,8,44,0,3,1,9,0,0,39,0,4,0,0,0,0,7,2,6,0,0,20,5,23,0,1,1,4,0,0,20,0,1,0,0,0,1
55,22,0.9181,5,4,4,62.3,129.370952899,303.358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4200028178766764,545.037182255,15.267220234572113,12.591345367,12.591345367,10.685871848001627,7.924469536689999,7.924469536689999,6.541621623119999,6.541621623119999,5.32679119413,5.32679119413,4.044514131080001,4.044514131080001,-1.43,14.1806708927,5.3339249749199995,2.24165884945,1,5,14.580253302400001,24.229805209400002,0.0,0.0,0.0,5.969305287949999,9.69444691492,0.0,0.0,0.0,30.3318353423,12.611123474400001,24.9253249041,6.606881964509999,19.3747904865,5.969305287949999,0.0,4.89990973085,0.0,49.155130113599995,13.6545539472,35.895286834000004,0.0,0.0,0.0,0.0,0.0,0.0,60.025877182399995,14.268263091700002,0.0,24.3230007837,30.3318353423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83333333333332,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,7,0,1,4,12,1,15,0,0,15,0,15,0,0,0,6,0,0,21,0,0,0,0,0,2,10,1,11,0,0,12,0,12,0,0,0,5,0,0,15,0,0,0,0,0,2,3,1,4,0,0,8,0,8,0,0,0,2,0,0,8,0,0,0,0,0,0
60,28,3.6098,4,10,3,41.93,167.953526394,381.51599999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5528422820366514,663.644824222,19.44310053205217,16.5554942757,16.5554942757,13.881341395361314,10.1980855887,10.1980855887,7.0005966538,7.0005966538,5.09758307123,5.09758307123,3.6612834052699994,3.6612834052699994,-1.98,20.7465382481,11.7706657695,6.28018822574,1,4,19.4801630333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2367752147,29.541650759299998,19.634269217699998,33.034409822600004,14.580253302400001,5.573104530069999,0.0,4.89990973085,0.0,12.841643245899999,52.6686790403,77.3636781981,0.0,0.0,0.0,0.0,0.0,0.0,62.675116166,9.4737259076,0.0,23.9685462292,66.2367752147,0.0,5.573104530069999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666666666666,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,12,2,14,0,1,1,0,2,1,0,2,61,0,61,0,0,0,5,0,0,86,0,0,0,0,0,1,0,1,0,0,1,46,0,46,0,0,0,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,31,0,0,0,0,0,1
76,34,1.5786,10,7,5,99.97,198.717222069,465.55800000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7171684909192138,1102.66692816,23.329851878000298,19.5591312839,19.5591312839,16.779519543128238,11.945760059500001,11.945760059500001,8.283390103239999,8.283390103239999,6.18556879465,6.18556879465,4.358410137880001,4.358410137880001,-3.08,22.6993903657,10.4564741875,4.6113307919099995,1,10,29.279982495,5.69392799485,22.799603494099998,5.94833928099,0.0,0.0,0.0,9.96795704189,9.96795704189,0.0,30.3318353423,6.92373719969,44.831989927200006,33.034409822600004,14.580253302400001,28.747942775,0.0,19.9359140838,0.0,6.92373719969,87.00267745059999,30.3318353423,0.0,11.257379486500001,14.6997291926,17.5840648367,0.0,0.0,97.3453897367,9.4737259076,0.0,6.92373719969,30.3318353423,0.0,22.4212574249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.16666666666664,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,1,6,0,0,15,53,0,22,0,0,97,0,57,0,0,0,1,0,0,15,0,0,0,0,0,8,33,0,12,0,0,66,0,34,0,0,0,1,0,0,12,0,0,0,0,0,3,15,0,5,0,0,32,0,18,0,0,0,0,0,0,8,0,0,0,0,0,1
