ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,24,3.6959,3,2,4,54.37,144.442443622,330.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.646027462326123,606.20511482,17.11251969619286,15.0144225531,15.0144225531,11.397849253306367,9.773953645539999,9.773953645539999,9.26772824476,9.26772824476,8.50652186127,8.50652186127,7.19844630955,7.19844630955,-0.96,16.505310369700002,5.520490240369999,2.1262227511700003,1,3,5.1065273948400005,6.606881964509999,11.5664898927,0.0,0.0,0.0,9.589074368139999,0.0,0.0,0.0,19.4205789295,79.6054705446,12.3387276691,0.0,14.695601762999999,11.5664898927,0.0,0.0,34.501605123400005,65.2140473828,6.606881964509999,11.6491246369,0.0,0.0,0.0,0.0,0.0,0.0,23.2798992521,9.589074368139999,34.501605123400005,65.2140473828,11.6491246369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.33333333333333,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,13,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1
1,39,5.2114,7,6,7,48.83,226.20229097,527.615,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0368423924336907,1443.04181079,26.56190268556918,21.587977151,21.587977151,19.02000651913439,13.6860460472,13.6860460472,10.917885325799999,10.917885325799999,8.58273164338,8.58273164338,6.6896654814900005,6.6896654814900005,-3.39,24.636541474899996,9.662462759119999,4.291285690880001,1,5,9.84339034864,18.4603601855,0.0,0.0,5.9225291680900005,0.0,14.7837979826,8.78083009535,0.0,0.0,54.5973036162,46.519274240600005,44.3068498156,23.3943536391,18.624220444000002,10.902924932100001,0.0,14.7837979826,0.0,29.9041484773,39.3306639941,107.313421428,0.0,5.749511833280001,4.7368629538,8.78083009535,5.749511833280001,0.0,71.2474849274,0.0,0.0,40.1314588883,85.0596154616,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.94450956857136,57.805490431428616,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,22,3,20,0,2,1,14,3,7,0,3,108,7,94,0,7,1,16,0,1,103,0,6,0,0,1,1,10,1,6,0,1,89,2,78,0,2,1,6,0,1,84,0,2,0,0,1,0,5,1,3,0,1,42,0,40,0,0,0,1,0,0,41,0,0,0,0,0,1
3,38,0.4698,11,4,5,170.87,219.21792142799998,527.5740000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6388994388121565,1292.9870763000001,27.731321849709854,21.561982342100002,21.561982342100002,17.828164150201975,12.7338165823,12.7338165823,11.0867586921,11.0867586921,8.664789849349999,8.664789849349999,6.70279182322,6.70279182322,-3.25,26.3608220604,8.90709342561,3.52692980523,6,11,30.8494255782,22.840946106700002,11.3842957573,5.78324494636,5.907179729349999,0.0,24.183431013899998,0.0,0.0,0.0,12.1327341369,65.0008774058,17.4089166224,23.875034320700003,39.9162485264,17.4736696221,0.0,15.1166080657,11.8358120923,43.4301445196,33.8535479661,51.990542992200005,0.0,5.749511833280001,5.316788604009999,0.0,5.749511833280001,0.0,98.3025656642,15.1901251791,11.8358120923,42.1076422359,40.863640008800004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.66666666666666,0,4,2,0,0,0,0,1,0,0,3,3,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,10,0,2,25,23,24,26,0,5,15,8,15,0,0,20,21,0,4,38,0,2,0,0,0,18,14,16,17,0,3,14,5,14,0,0,12,12,0,2,26,0,0,0,0,0,8,5,5,7,0,1,8,1,8,0,0,1,5,0,0,10,0,0,0,0,0,0
4,40,5.7446,8,13,4,83.53,233.88173578,545.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.222314914926988,1404.14331811,28.48455241637955,23.398445276999997,23.398445276999997,19.46025875568085,13.197384630699998,13.197384630699998,9.390074610260001,9.390074610260001,6.7104714241400005,6.7104714241400005,4.698525071640001,4.698525071640001,-4.3,28.7015423753,13.665977619000001,6.634228573430001,0,8,28.5842244999,0.0,11.499023666600001,5.749511833280001,0.0,11.938610575899999,0.0,9.589074368139999,0.0,0.0,48.5309365477,59.6333132918,13.0895128118,45.6700595363,33.2733891371,33.4835074338,0.0,4.89990973085,0.0,12.841643245899999,54.680341347399995,77.8569407365,0.0,17.2485354999,14.210588861400002,0.0,17.2485354999,0.0,71.5188616541,9.4737259076,0.0,33.557620597399996,66.7300377531,0.0,21.5448968579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.83333333333334,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,20,1,22,0,1,11,33,2,38,0,2,104,3,109,0,3,0,1,0,0,113,0,4,0,0,0,8,20,1,22,0,1,80,0,83,0,0,0,1,0,0,84,0,1,0,0,0,3,6,0,7,0,0,39,0,39,0,0,0,1,0,0,39,0,1,0,0,0,1
5,36,-1.3975,19,9,4,219.93,218.508863867,575.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4916868248610593,1225.22297613,26.36107836170678,18.3592424431,21.6252287668,17.01178078270518,9.75000810465,13.5436670768,7.298088930639999,12.0966411681,5.2068537745,10.524743385599999,3.51289522739,8.15652860548,-2.74,26.326636162399996,9.95962197501,4.334841126730001,5,15,26.0003738246,21.2259866699,0.0,11.0636162112,17.5393450527,11.938610575899999,19.2835212831,14.270877303299999,0.0,16.8605667577,35.285654848200004,15.999874721400001,25.663176737399997,4.23716849771,38.922603663800004,76.70768956149999,0.0,30.423953269600002,12.7813394598,20.8372649026,18.6155047548,21.0804168709,0.0,0.0,11.050456081199998,0.0,0.0,47.0475397976,99.2767023948,35.7572208568,0.0,0.0,26.2368533527,0.0,0.0,0.0,0.0,4.062850019074282,0.0,0.0,0.0,0.0,0.0,0.0,0.6473654293097435,100.20645121828268,2,0,0,0,0,4,0,0,2,2,5,3,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,11,5,5,7,6,0,21,13,10,16,15,0,10,0,0,0,0,4,10,9,0,12,16,0,6,0,0,12,7,6,10,10,0,10,0,0,0,0,3,8,8,0,9,9,0,5,0,0,6,6,4,7,5,0,8,0,0,0,0,1,3,4,0,4,1,0,2,0,0,0
6,25,4.236000000000001,3,6,3,40.54,149.84767683799998,337.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6065701897464988,670.941279548,17.648053602125593,14.8437628869,14.8437628869,12.147867045540846,9.18077159253,9.18077159253,7.05952917339,7.05952917339,5.42309590316,5.42309590316,3.8495721207699996,3.8495721207699996,-1.97,17.8402622039,8.413353644939999,4.5590990198300005,1,3,5.1065273948400005,0.0,5.78324494636,0.0,0.0,0.0,9.69444691492,0.0,0.0,0.0,67.0844923075,31.8735883432,24.0679547729,6.10396638775,9.90106457891,5.78324494636,0.0,4.89990973085,0.0,50.2917561607,7.04767198268,71.79057366800001,0.0,0.0,0.0,0.0,0.0,0.0,34.921035713,0.0,0.0,54.129514669799995,60.6636706846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.49999999999999,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2,14,0,1,1,12,0,13,0,0,30,0,33,0,0,1,15,0,0,49,0,0,0,0,0,0,12,0,13,0,0,28,0,28,0,0,1,9,0,0,35,0,0,0,0,0,0,6,0,6,0,0,18,0,18,0,0,0,5,0,0,19,0,0,0,0,0,1
7,29,6.2039,6,10,3,51.47,198.59757590599997,617.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9407045721815368,973.946784821,20.802754140504845,16.6874161197,21.002412702,14.06208060791394,9.94006073025,12.0975590214,6.8001068067,9.12448817147,4.6885576311,6.29114580801,3.2336940903299998,5.3132155889599995,-1.13,22.552872068400003,10.7659224822,5.324292353040001,1,4,14.470802494900001,23.6996613583,5.78324494636,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,38.4673972277,76.3464204884,23.915253735,12.7038160338,13.9485510749,61.9342305566,0.0,5.316788604009999,0.0,33.1099392682,19.6963947763,60.42571735520001,0.0,5.749511833280001,10.0536515578,0.0,5.749511833280001,45.1817412541,25.4796397227,6.42082162293,7.14036454213,48.370805231599995,40.8153533478,0.0,10.969244356099999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9317506170705405,48.31333752309217,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,15,1,16,0,1,1,7,1,7,0,1,76,3,75,0,3,0,2,0,0,76,0,3,0,0,0,1,6,1,6,0,1,56,0,55,0,0,0,1,0,0,45,0,0,0,0,0,0,4,0,4,0,0,23,0,22,0,0,0,0,0,0,21,0,0,0,0,0,1
8,17,2.58374,3,5,1,32.34,103.82215798899999,234.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6802676560474934,363.558641559,12.836498814253964,11.2088330371,11.2088330371,8.078917360319544,6.16459133211,6.16459133211,4.27637497035,4.27637497035,3.00718526097,3.00718526097,1.8408792833099996,1.8408792833099996,-1.35,13.713897763599999,6.4012209135300004,3.85820081547,1,3,5.316788604009999,0.0,0.0,5.907179729349999,0.0,0.0,9.69444691492,0.0,0.0,0.0,32.0465756048,38.0638901946,5.687386274680001,6.544756405909999,4.794537184069999,11.594566004,0.0,4.89990973085,0.0,27.694948798800002,24.9510578217,29.326004188800002,0.0,0.0,5.316788604009999,5.687386274680001,0.0,0.0,30.4413586779,4.794537184069999,13.847474399400001,24.974377382800004,18.199101205399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,6,0,1,0,6,1,6,0,0,15,0,15,0,0,1,8,0,0,15,0,0,0,0,0,0,5,1,5,0,0,15,0,15,0,0,1,3,0,0,15,0,0,0,0,0,0,2,1,2,0,0,8,0,8,0,0,0,1,0,0,8,0,0,0,0,0,0
9,26,3.5943,5,5,4,40.16,153.975328636,355.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5659207963776427,804.838353588,18.095647359318303,15.5798422784,15.5798422784,12.6902031456512,9.028748298650001,9.028748298650001,6.878699387030001,6.878699387030001,5.4137261068499996,5.4137261068499996,3.9293146545499997,3.9293146545499997,-2.4,17.0359206286,7.07687186233,3.07470112305,0,5,18.9474518152,0.0,22.9980473331,6.7929423061000005,0.0,0.0,4.89990973085,0.0,0.0,0.0,6.06636706846,67.2659596004,12.5865972351,14.2195950826,18.9474518152,0.0,0.0,4.89990973085,0.0,25.3043056979,34.6049657772,47.0221898174,0.0,22.9980473331,18.9474518152,0.0,22.9980473331,0.0,39.5048755081,12.841643245899999,0.0,29.1530169272,30.3318353423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.50000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,14,0,1,2,11,1,12,0,1,44,3,50,0,3,0,8,0,0,69,0,3,0,0,0,2,10,0,10,0,0,34,2,37,0,2,0,5,0,0,52,0,2,0,0,0,1,7,0,7,0,0,19,0,19,0,0,0,1,0,0,26,0,0,0,0,0,1
10,42,5.5602,8,8,6,92.89,243.380592195,563.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.22074871327756,1862.73871611,29.216603223948432,23.952192184,23.952192184,20.499064895941075,13.974793746700001,13.974793746700001,10.428412163600001,10.428412163600001,8.04662047474,8.04662047474,5.83531339879,5.83531339879,-4.82,27.3547883992,11.581339619200001,5.05381674393,2,8,24.511355986399998,5.749511833280001,11.499023666600001,5.428790391900001,5.907179729349999,0.0,14.488984099000001,0.0,0.0,0.0,30.3318353423,71.9965672002,30.707879706900002,43.31246976520001,19.0051260455,33.4004158682,0.0,9.8838882518,0.0,19.3863996518,39.7356940397,105.27353836399999,0.0,17.2485354999,24.9561678573,5.687386274680001,17.2485354999,0.0,50.209973416800004,19.3863996518,0.0,27.048343150900003,77.5909420056,0.0,21.805849864200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3333333333334,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,26,3,25,0,1,4,27,3,24,0,1,156,17,143,0,3,2,23,0,0,142,0,3,0,0,0,3,21,2,18,0,0,103,14,92,0,2,0,15,0,0,89,0,2,0,0,0,1,10,1,9,0,0,49,6,45,0,0,0,6,0,0,40,0,0,0,0,0,1
