ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
11,28,2.5751,5,1,5,86.99,166.706987331,390.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5112432302536247,717.781243827,19.896976746569027,17.0635502824,17.0635502824,13.198179413962517,11.1563089079,11.1563089079,10.797950843499999,10.797950843499999,10.0499330507,10.0499330507,8.36671355472,8.36671355472,-0.91,19.0772477222,6.052944430580001,2.26995722785,3,5,20.0564451383,6.606881964509999,0.0,0.0,0.0,5.969305287949999,0.0,4.794537184069999,0.0,0.0,13.847474399400001,86.0262921675,11.491010576199999,17.808983586500002,24.850982322399997,5.969305287949999,0.0,0.0,34.501605123400005,83.02303096930001,6.606881964509999,11.6491246369,0.0,0.0,0.0,0.0,0.0,0.0,45.704753023500004,9.53140013787,34.501605123400005,65.2140473828,11.6491246369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.08333333333334,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,0,0,8,0,3,9,0,0,0,0,0,0,0,3,9,0,0,35,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,1,8,0,0,24,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,1,5,0,0,9,0,0,0,0,0,1
18,22,4.5507,4,11,0,63.32,139.293214451,325.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8700602938732516,420.803093175,16.95781915781361,14.3931022095,15.2095987904,10.324274960443892,7.8332150269300005,8.98791556531,5.94196653376,7.0168814908899995,3.28698849848,4.284176442330001,1.80635957091,2.7413221361400004,-1.0,21.0,12.534722222200001,12.719008264500001,3,3,10.840194872,6.04184082915,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,11.7618849494,0.0,34.9473739107,53.3782352905,11.5057072135,0.0,9.90106457891,17.7311902373,0.0,0.0,5.73366747716,59.4200761196,11.5057072135,34.9473739107,0.0,0.0,5.73366747716,0.0,0.0,11.7618849494,28.6233807254,4.794537184069999,0.0,53.3782352905,34.9473739107,0.0,0.0,0.0,0.0,1.5674476592721194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.265885674061224,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,12,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0,3,0,50,8,4,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3,0,37,3,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3,0,20,0,1,2,0,0,0
25,33,2.553,9,5,5,101.55,190.40448699799998,455.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7485234345560519,1104.68268198,23.27529192407988,18.7990020396,18.7990020396,15.960258755680867,10.6347884772,10.6347884772,8.268603245560001,8.268603245560001,6.59203944508,6.59203944508,5.24765036069,5.24765036069,-3.62,21.2375252884,8.05918414015,3.2984091212599997,1,9,33.7379663268,0.0,22.9980473331,18.449633868699998,0.0,5.969305287949999,9.589074368139999,0.0,0.0,0.0,0.0,40.9558227489,18.759549292,39.8960214637,38.0102520909,11.8764850173,0.0,5.316788604009999,11.8358120923,18.883484075,34.729216894400004,40.9558227489,0.0,28.7475591664,29.001103373000003,0.0,28.7475591664,0.0,46.6057019117,14.3259373219,11.8358120923,35.5738385501,24.2654682738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,1,15,0,0,13,35,3,44,0,0,49,4,67,0,0,0,6,0,0,81,0,0,0,0,0,6,18,2,23,0,0,32,1,45,0,0,0,5,0,0,55,0,0,0,0,0,3,9,1,10,0,0,13,0,17,0,0,0,2,0,0,20,0,0,0,0,0,1
32,34,-0.7937,12,8,4,160.88,195.88343642700002,471.51800000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4912400355713282,1136.37878331,24.405048436076797,19.1976568325,19.1976568325,16.332937555743037,10.8178841651,10.8178841651,8.34708413281,8.34708413281,5.85239067168,5.85239067168,4.03918463986,4.03918463986,-3.32,23.8253331904,9.89142850475,4.52579662844,5,12,35.637146509299996,24.2847646835,23.209641886999997,5.907179729349999,0.0,0.0,9.36163683186,14.9519355628,0.0,0.0,12.1327341369,24.117007251500002,14.0953439654,32.127681238899996,24.4813178814,22.8889204456,0.0,24.8358238146,5.73366747716,36.9403372275,32.711933202,42.4835599151,0.0,5.749511833280001,20.6872287658,5.81786277784,5.749511833280001,0.0,87.74290763459999,15.952221760799999,0.0,11.7913526624,36.9201084234,0.0,11.163877938399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5702184643946702,81.596448202272,0,2,2,0,0,4,0,0,0,0,1,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,4,7,0,6,15,40,5,10,0,20,53,6,22,0,18,6,2,0,14,15,0,5,0,0,12,9,27,5,8,0,12,45,2,19,0,14,4,1,0,7,15,0,3,0,0,8,2,10,1,3,0,4,24,0,10,0,7,1,0,0,2,10,0,1,0,0,4,1
50,28,5.9961,2,8,3,12.47,168.648904314,371.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9959473772927907,880.73553351,19.769373945685235,17.0596859982,17.0596859982,13.685871848001629,9.90684881872,9.90684881872,7.11527262156,7.11527262156,4.79026590829,4.79026590829,3.34842011227,3.34842011227,-2.84,19.9087945758,9.91099361735,5.11364381338,0,2,9.63677268465,12.3563937978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7201420212,60.4854632604,6.544756405909999,0.0,4.7368629538,11.1462090601,0.0,4.89990973085,0.0,13.3445588226,27.2469823358,101.61949343399999,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,0.0,32.146892066599996,0.0,0.0,30.0349132977,84.9291389585,0.0,11.1462090601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.99999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
90,41,3.1696,12,18,3,174.38,242.408595092,575.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2566338260883725,1065.10480083,29.614308928376474,24.7720031578,24.7720031578,19.75692795082146,15.2417856602,15.2417856602,11.54882616,11.54882616,7.60606445276,7.60606445276,5.15348831461,5.15348831461,-2.83,32.6816232115,17.2011014783,10.825347733900001,6,12,35.8842620764,24.0519535679,17.6929411693,11.814359458699998,0.0,0.0,9.589074368139999,14.9519355628,0.0,0.0,78.05569062859999,19.262464868800002,6.42082162293,25.017883697600002,24.5389921116,28.796100174899998,0.0,30.5694912918,5.91790604616,128.402712237,11.8615450099,12.6546401495,0.0,0.0,15.950365812000001,5.81786277784,0.0,0.0,79.0897259012,14.3259373219,5.91790604616,97.8210710742,12.6546401495,0.0,11.163877938399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.33333333333331,0,2,2,0,0,4,1,0,0,0,2,2,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,9,7,15,0,5,18,19,22,0,0,13,36,27,0,0,30,13,0,0,9,64,0,0,0,0,10,12,16,16,0,0,13,36,17,0,0,30,6,0,0,6,47,0,0,0,0,10,4,9,6,0,0,7,18,6,0,0,13,4,0,0,4,26,0,0,0,0,8,0
93,22,4.8106,4,8,2,28.16,138.23015674200002,319.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9543317629987864,595.9020042880001,15.94938298937633,13.7720271851,14.5279561311,10.634560252985372,8.16800081831,8.54596529132,5.73447983362,6.17091561409,4.1125805060600005,4.34767760885,2.74565171269,2.91199526773,-1.32,17.0404934573,8.348732456830001,4.5866088198,1,3,10.2166983349,0.0,0.0,0.0,0.0,0.0,4.98397852095,0.0,0.0,0.0,25.4484142896,63.6651179371,28.3349282037,5.51670071762,0.0,28.191251097,0.0,9.8838882518,0.0,39.6546956741,24.9510578217,35.4849451592,0.0,0.0,5.316788604009999,5.687386274680001,0.0,11.6009398902,35.5599982987,0.0,0.0,33.6128548449,30.4623118455,5.02263331374,10.902924932100001,0.0,0.0,6.037304924321911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.073806186789206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2,8,0,1,0,6,0,6,0,0,45,0,39,0,0,1,7,0,0,18,0,0,0,0,0,0,4,0,4,0,0,40,0,34,0,0,0,2,0,0,16,0,0,0,0,0,0,2,0,2,0,0,18,0,13,0,0,0,1,0,0,9,0,0,0,0,0,1
99,46,2.7529,14,6,8,160.83,266.562003287,656.6619999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1582289436111393,1601.09862502,31.68914100752345,24.7686469014,25.5851434823,22.35490694359764,14.8836372616,15.7632900728,11.767938986199999,12.747211294300001,9.370064280980001,10.2639802649,7.18329633153,7.88940890073,-3.63,29.7511153202,11.5599894707,4.701146592890001,3,13,57.9513487687,24.415865551,35.5781007918,12.5424541394,0.0,5.969305287949999,4.794537184069999,0.0,0.0,11.336785877899999,6.06636706846,52.4022525879,11.8358120923,44.3323786392,62.745885952799995,17.3060911659,0.0,0.0,11.8358120923,49.0177914436,34.2263013177,63.34576685,0.0,28.7475591664,18.9474518152,0.0,28.7475591664,11.336785877899999,86.22108107049999,28.478851953099998,11.8358120923,39.879400831999995,41.7782651812,0.0,0.0,0.0,0.0,1.464183010632557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.3691503227008,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,17,3,20,0,0,36,69,14,78,0,0,59,6,77,0,0,1,20,0,0,91,0,0,0,0,0,21,35,11,41,0,0,41,6,56,0,0,1,6,0,0,66,0,0,0,0,0,9,16,4,18,0,0,23,4,28,0,0,1,3,0,0,31,0,0,0,0,0,1
103,80,0.7636,22,33,4,339.45,471.267767998,1115.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4969004127827206,2359.85352219,58.88960085245629,47.7159391559,47.7159391559,38.240461174156025,28.6719199866,28.6719199866,21.920866509,21.920866509,14.497255759300002,14.497255759300002,10.1476861502,10.1476861502,-6.78,65.7365342959,33.7255689622,20.3949926318,13,22,69.0128793053,54.6208871563,0.0,53.1646175642,0.0,0.0,43.1508346566,0.0,0.0,0.0,102.206093883,113.102087363,25.9311560577,12.0836816583,47.9453718407,59.450778087299994,0.0,47.0173396897,29.0368145238,191.852334211,26.1790256237,71.79057366800001,0.0,0.0,54.4185226595,0.0,0.0,0.0,155.848031464,60.7870150866,11.8358120923,129.719185657,60.6636706846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.83333333333343,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,2,7,3,0,0,2,0,0,1,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,28,0,3,17,16,15,44,0,4,30,15,41,0,3,9,21,0,4,89,0,9,0,0,0,9,6,11,26,0,3,30,13,31,0,1,2,12,0,0,64,0,6,0,0,0,0,2,2,12,0,1,20,10,20,0,0,2,3,0,0,35,0,2,0,0,0,1
108,12,1.4698,5,3,0,50.69,76.7263042381,190.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8317472942012736,180.24518935,9.612884175122364,7.749308736080001,8.565805317010001,5.515167193676995,3.50006893634,4.72481380773,2.67082710678,4.13127423857,1.22944768473,2.3870557814,0.299495205428,0.447937609058,-0.71,11.29,5.02801819797,5.0088369117300005,1,4,5.316788604009999,0.0,0.0,0.0,0.0,6.093240070939999,4.837588583740001,4.794537184069999,11.7618849494,0.0,5.15571272675,20.1032435829,11.794694435899999,6.21460057954,9.63212576781,24.069725599899996,0.0,5.316788604009999,5.15571272675,18.5944968526,13.303441166199999,0.0,0.0,0.0,5.316788604009999,4.794537184069999,0.0,11.7618849494,30.358304269899996,4.837588583740001,0.0,13.847474399400001,5.15571272675,0.0,0.0,0.0,0.0,1.6253389550264552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.124661044973546,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
