ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,25,3.1753,4,2,6,45.33,147.394280066,336.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.831051986690468,896.433146305,17.181433796945207,14.8406959667,14.8406959667,12.185037068637323,9.31812354291,9.31812354291,7.6938828918499995,7.6938828918499995,6.552768029839999,6.552768029839999,5.7100001120099995,5.7100001120099995,-2.07,15.205776797,5.21261094272,1.83331322822,1,4,9.72084147475,5.4149904694,0.0,0.0,0.0,5.969305287949999,9.69444691492,0.0,0.0,0.0,36.771963041999996,36.8101894751,29.686365738800003,13.151638370399999,9.53140013787,16.87223022,0.0,9.8838882518,5.91790604616,37.643033367,20.1993103531,47.171972397299996,0.0,0.0,0.0,0.0,0.0,0.0,42.094344721999995,21.3672122302,5.91790604616,31.0227599321,35.9145929107,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.41666666666667,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,11,0,1,1,0,0,0,0,0,36,2,42,0,0,1,12,0,0,41,0,3,0,0,0,1,0,0,0,0,0,35,2,41,0,0,1,8,0,0,30,0,2,0,0,0,1,0,0,0,0,0,18,2,23,0,0,0,3,0,0,18,0,1,0,0,0,1
1,7,0.8781,1,0,1,3.24,44.6283610843,97.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.318826562237384,76.2492050601,5.112884175122364,4.72323447744,4.72323447744,3.393846850117352,2.72949904179,2.72949904179,2.02232296875,2.02232296875,1.26123634501,1.26123634501,0.758540813995,0.758540813995,-0.3,4.84925373134,2.1236802158900003,1.3161241356,0,1,4.89990973085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1520402137,13.468493605599999,13.0895128118,0.0,0.0,0.0,0.0,4.89990973085,0.0,6.42082162293,20.1371847945,12.1520402137,0.0,0.0,0.0,0.0,0.0,0.0,25.0370945254,0.0,0.0,6.42082162293,12.1520402137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,12,2.10142,2,0,2,30.21,69.4443486897,160.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0102324599619346,468.467428349,8.55204176387779,6.7032479268800005,6.7032479268800005,5.787693700234701,3.75997595464,3.75997595464,2.7439985250200003,2.7439985250200003,1.85251231463,1.85251231463,1.1748060647399998,1.1748060647399998,-1.57,7.09929516575,2.48251405009,0.9250104838969999,0,2,4.41715093705,5.5830201416400005,5.428790391900001,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,12.1327341369,19.0564713366,5.5634514916999995,11.6493872101,4.41715093705,10.969244356099999,0.0,0.0,0.0,6.92373719969,0.0,46.3154103372,0.0,0.0,5.428790391900001,0.0,0.0,0.0,0.0,0.0,6.92373719969,5.5634514916999995,39.7403193906,0.0,10.969244356099999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22324074074074,23.943425925925933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,7,0,0,0,0,0,0,0,0,45,0,33,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,40,0,28,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,22,0,13,0,0,0,0,0,0,10,0,0,0,0,0,1
3,49,-0.1346,14,21,2,231.84,289.956980379,686.8989999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1678301975793417,1229.73608338,36.50949644276187,29.489832507600003,29.489832507600003,23.31820722093597,17.492057045,17.492057045,13.5810192253,13.5810192253,8.579306001319999,8.579306001319999,5.89747583862,5.89747583862,-3.88,41.2915800028,21.2583774586,13.508734605799999,10,14,48.162603762399996,30.453523839699997,0.0,29.5358986468,0.0,0.0,23.9726859204,0.0,0.0,0.0,58.026784141099995,81.85534937930001,6.544756405909999,12.0836816583,28.7672231044,35.8220591699,0.0,26.1670641469,29.0368145238,115.31256675700001,19.634269217699998,35.895286834000004,0.0,0.0,38.4681568475,0.0,0.0,0.0,96.6072830934,35.1880447274,11.8358120923,78.2041516509,30.3318353423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.1666666666666,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,4,3,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,18,0,3,9,6,11,19,0,2,15,0,15,0,0,11,18,0,3,47,0,8,0,0,1,5,2,9,10,0,0,15,0,15,0,0,1,10,0,0,34,0,7,0,0,0,0,0,5,4,0,0,10,0,10,0,0,1,0,0,0,20,0,3,0,0,0,1
4,30,2.9708,9,8,2,117.0,174.387015412,418.44599999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.602707345966916,902.3708831619999,22.421920772951363,17.6832668063,17.6832668063,14.166810215544992,9.46864571761,9.46864571761,7.07024117261,7.07024117261,4.47790601459,4.47790601459,3.25941836855,3.25941836855,-3.2,23.082594068600002,10.0174440039,5.2353542731900005,1,9,19.5273774654,6.606881964509999,0.0,0.0,5.687386274680001,11.938610575899999,10.1143182688,9.589074368139999,0.0,0.0,12.1327341369,33.2584002905,30.6366103043,34.6982745074,28.722974278400002,17.6259968506,0.0,5.316788604009999,0.0,39.7168212327,20.3235614703,62.48352572060001,0.0,0.0,5.316788604009999,5.687386274680001,0.0,0.0,43.289449482799995,23.7996632295,10.1143182688,39.1763063366,46.8057559601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.99999999999999,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,1,15,0,0,7,9,2,27,0,0,15,0,43,0,0,0,9,0,0,84,0,0,0,0,0,4,4,1,15,0,0,15,0,34,0,0,0,4,0,0,59,0,0,0,0,0,2,1,0,5,0,0,10,0,18,0,0,0,0,0,0,28,0,0,0,0,0,1
5,26,3.0559,5,8,3,35.94,160.497857751,374.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6597658526944237,642.820470186,18.192023676495616,15.0582104914,15.8141394374,12.775188245478668,9.2312990683,9.60926354131,6.578360067999999,7.01479584847,4.86056096119,5.11253727653,3.49989660748,3.62588476515,-1.43,19.3348680551,10.0467117382,5.286236403309999,1,4,9.84339034864,0.0,0.0,0.0,0.0,0.0,9.7998194617,0.0,0.0,0.0,54.0655093695,23.259637120300003,37.7464153433,25.862486722699998,9.84339034864,11.6009398902,0.0,9.7998194617,0.0,6.04184082915,52.5444279231,70.7468399133,0.0,0.0,0.0,0.0,0.0,11.6009398902,67.4507747796,4.7368629538,0.0,17.1687438125,54.5973036162,5.02263331374,0.0,0.0,0.0,6.090422103266382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.854022341178045,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,3,12,0,2,0,0,2,0,0,2,59,0,59,0,0,1,14,0,1,59,0,0,0,0,1,0,0,1,0,0,1,45,0,45,0,0,1,6,0,1,45,0,0,0,0,1,0,0,0,0,0,0,25,0,25,0,0,0,1,0,0,25,0,0,0,0,0,0
6,23,1.2683,7,3,3,74.57,131.683959975,319.336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.243584852361737,825.4107594010001,16.560113453385565,12.8036865539,12.8036865539,11.024075805453153,7.582522343360001,7.582522343360001,5.52088345006,5.52088345006,4.17754191512,4.17754191512,2.96143345142,2.96143345142,-2.41,15.4843420651,6.00030336135,2.67629945292,2,6,19.8903253775,11.3806723327,0.0,5.428790391900001,0.0,5.969305287949999,4.794537184069999,9.18495223175,0.0,0.0,0.0,19.0564713366,44.3068498156,11.2040869923,14.291479626600001,22.5596164947,0.0,9.8838882518,0.0,13.468493605599999,31.078935354499997,39.9335776173,0.0,0.0,15.6454887268,10.077801322400001,0.0,0.0,41.8219579542,6.544756405909999,5.81722084105,17.2817258755,23.1241148926,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.166856339758123,45.49981032690854,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10,2,7,3,1,6,21,2,19,1,1,43,9,39,9,6,0,4,0,0,21,3,5,3,0,0,4,16,2,14,1,1,34,4,31,8,2,0,2,0,0,18,3,2,3,0,0,2,8,1,6,1,0,12,0,11,3,0,0,0,0,0,7,2,0,3,0,0,1
7,31,1.8468,8,3,5,104.89,177.877136632,421.45300000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7487721103238782,1327.26209325,22.07662131133061,17.5986410504,17.5986410504,14.740237853411665,10.2062755643,10.2062755643,8.46687605385,8.46687605385,6.2525466862400005,6.2525466862400005,4.58203555683,4.58203555683,-3.23,19.716879964,6.63316618851,2.71566494619,2,8,24.4169271221,12.3563937978,5.60105081098,0.0,5.55926689505,5.969305287949999,4.794537184069999,9.77851570502,0.0,0.0,6.92373719969,44.7816338621,28.6213350955,29.0127646049,19.7444549276,16.87223022,0.0,14.450987899600001,0.0,38.6420044099,14.0953439654,56.873078319799994,0.0,17.137367822999998,5.55926689505,0.0,5.749511833280001,0.0,44.7286919426,34.8288457252,0.0,35.5983647894,29.0600054579,0.0,22.2907809218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6072345049130763,74.47609882842025,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,16,3,10,0,1,9,34,0,12,0,0,101,11,46,0,5,1,11,0,0,28,0,3,0,0,0,6,22,0,9,0,0,71,7,26,0,3,1,9,0,0,17,0,2,0,0,0,3,10,0,5,0,0,33,2,9,0,1,1,5,0,0,6,0,1,0,0,0,1
8,17,2.58374,3,5,1,32.34,103.82215798899999,234.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6802676560474934,363.558641559,12.836498814253964,11.2088330371,11.2088330371,8.078917360319544,6.16459133211,6.16459133211,4.27637497035,4.27637497035,3.00718526097,3.00718526097,1.8408792833099996,1.8408792833099996,-1.35,13.713897763599999,6.4012209135300004,3.85820081547,1,3,5.316788604009999,0.0,0.0,5.907179729349999,0.0,0.0,9.69444691492,0.0,0.0,0.0,32.0465756048,38.0638901946,5.687386274680001,6.544756405909999,4.794537184069999,11.594566004,0.0,4.89990973085,0.0,27.694948798800002,24.9510578217,29.326004188800002,0.0,0.0,5.316788604009999,5.687386274680001,0.0,0.0,30.4413586779,4.794537184069999,13.847474399400001,24.974377382800004,18.199101205399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,6,0,1,0,6,1,6,0,0,15,0,15,0,0,1,8,0,0,15,0,0,0,0,0,0,5,1,5,0,0,15,0,15,0,0,1,3,0,0,15,0,0,0,0,0,0,2,1,2,0,0,8,0,8,0,0,0,1,0,0,8,0,0,0,0,0,1
9,33,1.6413,8,4,5,88.54,193.629956628,456.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8614642953713896,1041.72351651,23.758784066134833,19.8301115171,19.8301115171,15.716598906828438,11.5306550701,11.5306550701,9.75905355377,9.75905355377,8.617823978310001,8.617823978310001,7.6750452741899995,7.6750452741899995,-2.58,22.2240299935,7.207164575039999,2.48113032662,1,8,24.2170259871,5.749511833280001,6.10396638775,5.60105081098,0.0,11.938610575899999,9.69444691492,4.794537184069999,0.0,0.0,25.1421444818,31.0162182119,49.141740699399996,20.2614359117,28.9061906244,17.6259968506,0.0,4.89990973085,5.4149904694,55.892806971700004,39.2566896079,35.9145929107,0.0,5.749511833280001,9.63677268465,5.687386274680001,5.749511833280001,0.0,80.0905264357,24.477790745100002,5.4149904694,32.2525691369,30.3511414191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.58333333333334,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,9,0,1,13,3,1,3,0,0,15,5,15,0,0,1,6,0,0,30,0,2,0,0,0,9,3,0,3,0,0,13,4,13,0,0,0,1,0,0,20,0,1,0,0,0,6,3,0,3,0,0,5,0,5,0,0,0,0,0,0,6,0,0,0,0,0,1
