ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
44,12,2.8878,4,0,2,25.78,88.1174679611,290.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87714455842684,430.327416202,8.55204176387779,5.959757213780001,8.87318445097,5.770856947829096,3.32960971972,4.78632333831,2.32594988936,3.929595196,1.54875185683,2.52093303082,0.997374257528,1.6835840724899998,-0.42,8.190654608600001,3.14180295894,1.38322302515,0,2,0.0,11.4804298917,0.0,0.0,0.0,0.0,0.0,9.96795704189,0.0,0.0,11.6009398902,40.7899718325,8.95640648553,5.51670071762,0.0,45.0947354494,0.0,9.96795704189,0.0,0.0,0.0,33.2497133681,0.0,0.0,0.0,0.0,0.0,34.1918105173,9.96795704189,0.0,3.5701822710699997,0.0,24.526421280100003,5.15310981689,10.902924932100001,0.0,0.0,5.874567901234567,0.0,0.0,0.0,0.0,0.0,0.0,1.135925925925926,17.656932501889642,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,6,0,0,1,14,0,12,0,0,45,0,39,0,0,0,0,0,0,15,0,0,0,0,0,1,13,0,11,0,0,39,0,33,0,0,0,0,0,0,14,0,0,0,0,0,1,6,0,4,0,0,19,0,14,0,0,0,0,0,0,9,0,0,0,0,0,1
53,34,4.45258,9,5,3,82.43,195.862384833,473.495,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0916609670224653,1016.54394642,25.043241116511002,19.0954822741,19.0954822741,15.979384165149765,10.8285074832,10.8285074832,9.17315448584,9.17315448584,5.412005466869999,5.412005466869999,3.96906411984,3.96906411984,-3.54,25.089866646599997,10.1609827576,6.0699645096,1,6,14.9535612887,35.4908495469,0.0,5.907179729349999,0.0,6.093240070939999,4.794537184069999,17.9657823271,5.26189155474,0.0,24.2654682738,56.1635828563,12.3387276691,12.6139777187,27.497182465,12.0004198003,5.26189155474,10.2166983349,0.0,56.9663471329,6.544756405909999,71.2922812132,0.0,6.069221312790001,5.316788604009999,17.9657823271,0.0,0.0,47.3014938018,9.53140013787,22.9655545496,44.236842251599995,48.5309365477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.42412166223494,54.6592116710984,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,17,0,0,7,18,4,20,0,0,58,10,58,0,0,1,7,0,0,81,0,0,0,0,0,3,8,4,9,0,0,44,3,44,0,0,0,2,0,0,58,0,0,0,0,0,0,5,2,6,0,0,23,0,23,0,0,0,0,0,0,29,0,0,0,0,0,0
66,8,-0.2882,4,2,0,74.6,45.0559860433,116.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.668626461933803,118.97373660299999,6.568914100752346,3.8656243103099994,3.8656243103099994,3.6258976576862287,1.76614548849,1.76614548849,1.0098086693100001,1.0098086693100001,0.368487295321,0.368487295321,0.142576980994,0.142576980994,-1.32,6.68,2.78796371329,4.68,2,4,10.213054789700001,0.0,0.0,0.0,0.0,11.938610575899999,0.0,9.589074368139999,0.0,0.0,0.0,0.0,12.1520402137,0.0,19.8021291578,11.938610575899999,0.0,0.0,0.0,0.0,0.0,12.1520402137,0.0,0.0,0.0,0.0,0.0,0.0,22.1516653656,9.589074368139999,0.0,0.0,12.1520402137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,6,0,3,0,1,2,4,0,0,0,0,0,0,0,0,1,0,1,6,0,10,0,0,3,0,1,2,4,0,0,0,0,0,0,0,0,1,0,1,5,0,9,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,2,0,5,0,0,0
67,14,2.13402,3,1,2,48.14,82.5160357875,188.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8333435108548954,479.91638039300005,10.129392033067417,8.242213231910002,8.242213231910002,6.7195453528128395,4.4095622641,4.4095622641,3.24064195243,3.24064195243,2.30162728689,2.30162728689,1.50532063062,1.50532063062,-1.77,8.811833472450001,3.17813583495,1.26672532884,2,3,10.470530431,5.749511833280001,0.0,0.0,0.0,0.0,4.98397852095,0.0,0.0,0.0,0.0,24.6199228283,17.6494348545,18.3138845336,4.7368629538,16.5903112068,0.0,4.98397852095,0.0,6.92373719969,12.8434650184,29.959396268699997,0.0,5.749511833280001,10.470530431,5.687386274680001,5.749511833280001,0.0,12.0937760622,0.0,6.92373719969,5.5634514916999995,24.395944776999997,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.833333333333336,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,1,7,0,0,1,14,1,10,0,0,45,3,30,0,0,0,4,0,0,21,0,0,0,0,0,0,9,1,7,0,0,36,3,24,0,0,0,4,0,0,15,0,0,0,0,0,0,5,0,3,0,0,17,2,12,0,0,0,2,0,0,8,0,0,0,0,0,0
73,25,5.71858,2,7,2,34.14,150.825904784,336.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1394835652542867,782.730356313,18.560113453385565,16.0316750516,16.0316750516,11.845443010499071,9.074732717669999,9.074732717669999,6.93963158515,6.93963158515,5.1977941735,5.1977941735,3.08296065391,3.08296065391,-2.22,19.109343625799998,8.24194422798,4.44589227545,0,2,0.0,0.0,11.5664898927,0.0,0.0,0.0,9.589074368139999,0.0,0.0,0.0,37.6100270965,74.4202165716,11.126902983399999,6.42082162293,9.589074368139999,11.5664898927,0.0,0.0,0.0,60.30197249020001,0.0,69.2759957842,0.0,0.0,0.0,0.0,0.0,0.0,11.5664898927,6.42082162293,27.694948798800002,74.7194368785,30.3318353423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00000000000002,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,16,0,0,1,11,0,12,0,0,41,0,47,0,0,0,0,0,0,70,0,0,0,0,0,1,8,0,9,0,0,29,0,33,0,0,0,0,0,0,48,0,0,0,0,0,1,3,0,4,0,0,13,0,14,0,0,0,0,0,0,20,0,0,0,0,0,0
75,10,0.6039,2,0,2,23.47,61.836250943900005,141.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0906094133137447,123.219280949,7.137828201504695,6.45490512331,6.45490512331,4.770856947829097,4.17130000752,4.17130000752,3.6756942867699998,3.6756942867699998,3.0733512995999996,3.0733512995999996,2.3827734455200003,2.3827734455200003,-0.08,6.61905674301,2.2076442514099996,0.8665906722869999,1,2,10.0064371257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7309584744,12.0836816583,6.10396638775,5.1065273948400005,0.0,0.0,4.89990973085,0.0,43.8709345377,7.04767198268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2417571544,0.0,0.0,25.683286491700002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,11,1.5382,2,0,2,26.3,64.7954656387,148.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4141310245037477,291.36913672,7.681798275874712,6.04011122006,6.04011122006,5.360173345306136,3.64682948607,3.64682948607,2.58179323127,2.58179323127,1.7948638984,1.7948638984,1.22033611277,1.22033611277,-1.31,6.40336001141,2.3813808915,1.1134056203,0,2,4.7368629538,5.749511833280001,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,18.199101205399998,18.0506401831,0.0,6.42082162293,9.53140013787,5.969305287949999,0.0,0.0,0.0,12.841643245899999,0.0,29.8289197655,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,0.0,5.969305287949999,11.215358807000001,0.0,11.9842731146,24.2654682738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,6,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,1
98,11,2.5454,1,0,2,20.23,64.9073014034,144.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9131611636048604,374.034490399,7.681798275874712,5.988665479830001,5.988665479830001,5.377010097711746,3.5449740027999996,3.5449740027999996,2.4982742827599997,2.4982742827599997,1.7666214190400003,1.7666214190400003,1.20831205065,1.20831205065,-1.5,6.22562358277,2.2740784780000003,0.944444444444,1,1,5.1065273948400005,5.749511833280001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.398202410799996,11.4525912829,5.386224214459999,0.0,5.1065273948400005,10.7724484289,0.0,0.0,0.0,0.0,0.0,42.4645694792,0.0,5.749511833280001,0.0,0.0,5.749511833280001,0.0,5.1065273948400005,0.0,0.0,0.0,42.4645694792,0.0,10.7724484289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10,0,0,0,0,0,0,0,0,45,0,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,20,0,0,0,0,0,1
109,14,1.84512,3,1,2,42.09,81.3376671905,189.21400000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8174887154176984,528.288836551,10.129392033067417,8.125897657689999,8.125897657689999,6.702708600407232,4.38188072183,4.38188072183,3.22811528142,3.22811528142,2.25704504094,2.25704504094,1.52879784551,1.52879784551,-1.77,8.811833472450001,3.17813583495,1.3691295208899998,1,3,9.72084147475,5.749511833280001,0.0,5.55926689505,0.0,0.0,4.794537184069999,0.0,0.0,0.0,0.0,30.686289896799998,16.9692920005,7.10979754128,4.7368629538,10.902924932100001,0.0,4.98397852095,0.0,6.92373719969,7.10979754128,40.1827238447,0.0,5.749511833280001,10.2961298489,0.0,5.749511833280001,0.0,12.0937760622,0.0,6.92373719969,5.5634514916999995,29.0600054579,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,1,7,0,0,0,13,1,10,0,0,44,4,30,0,0,0,3,0,0,21,0,0,0,0,0,0,9,0,8,0,0,37,4,26,0,0,0,3,0,0,17,0,0,0,0,0,0,4,0,3,0,0,19,2,14,0,0,0,1,0,0,10,0,0,0,0,0,0
114,21,3.3011,6,5,1,80.67,125.619585489,314.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5948593815178125,581.485146341,16.25914854506434,12.7894199561,13.6059165371,9.471163677742103,6.75472493645,8.19478826525,6.49462157893,7.916158779380001,2.82924082611,3.69712504322,2.2548387596599997,2.73485986926,-1.4,17.6510204082,6.575894813730001,6.72838689351,1,5,4.7368629538,5.749511833280001,0.0,0.0,10.118126859,5.969305287949999,9.347287057760001,0.0,8.417796984330002,0.0,27.694948798800002,42.0191864123,6.42082162293,4.89548347552,22.501946995900003,16.087432147,0.0,0.0,11.3328965156,45.4320755201,0.0,24.2654682738,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,0.0,18.939852146,14.9126640431,11.3328965156,40.5365920446,29.160951749400002,0.0,0.0,0.0,0.0,-4.227857754085206,0.0,0.0,0.0,0.0,0.0,0.0,30.63826781520671,31.58958993887849,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,13,4,0,5,12,1,23,6,0,15,6,28,24,0,0,1,2,0,51,26,0,6,0,0,4,8,0,14,5,0,15,5,20,19,0,0,1,2,0,38,19,0,6,0,0,4,3,0,6,3,0,10,3,11,10,0,0,1,2,0,21,10,0,3,0,0,1
