ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,27,3.6657,5,6,4,46.5,161.21449003700002,369.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.410037754368512,790.1969527910001,18.639617433688322,16.3758497109,16.3758497109,13.27518824547867,10.521803397000001,10.521803397000001,7.899549524430001,7.899549524430001,6.00144202408,6.00144202408,4.3843157094,4.3843157094,-2.01,18.3578135699,8.340685009360001,3.8363062321399997,1,5,19.520660936400002,5.5634514916999995,0.0,5.87998833644,5.907179729349999,0.0,4.794537184069999,0.0,0.0,0.0,31.543660028,57.3018288241,18.475737026300003,12.1235826821,9.53140013787,16.8101046614,0.0,14.7837979826,5.91790604616,45.572601720200005,32.785907588200004,29.8289197655,0.0,5.87998833644,10.0536515578,0.0,5.87998833644,0.0,48.1600966962,6.544756405909999,5.91790604616,49.385833990100004,24.2654682738,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1527410065499057,51.01392566011676,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,10,0,1,1,16,0,13,0,0,36,0,33,0,0,1,7,0,0,25,0,2,0,0,0,1,15,0,12,0,0,31,0,29,0,0,0,2,0,0,19,0,2,0,0,0,1,5,0,3,0,0,16,0,15,0,0,0,0,0,0,11,0,1,0,0,0,0
1,20,5.8845,2,14,0,37.3,124.51981676,280.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1737658828976505,266.591787507,14.891058768174393,13.150144337,13.150144337,9.770055610029663,8.28805094328,8.28805094328,5.37447384854,5.37447384854,3.34127604149,3.34127604149,2.0876529762900002,2.0876529762900002,-1.05,18.95,16.0057103064,16.95,1,2,5.1065273948400005,0.0,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,63.3319257417,38.524929737600004,6.42082162293,0.0,9.90106457891,5.969305287949999,0.0,0.0,0.0,83.97359667479999,0.0,24.3040804273,0.0,0.0,0.0,0.0,0.0,0.0,11.0758326828,4.794537184069999,0.0,83.97359667479999,24.3040804273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.66666666666666,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,16,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,75,15,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,54,9,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29,3,0,3,0,0,1
2,18,2.68828,8,3,1,76.16,99.5468784193,260.171,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5227593486807747,520.324793987,13.922285251880867,9.11487280098,9.11487280098,8.307078978130338,4.60348843195,4.60348843195,3.2709634358399997,3.2709634358399997,2.17235907457,2.17235907457,1.3976140007700002,1.3976140007700002,-2.3,13.7636942675,4.912038669019999,2.68265124015,0,5,4.7368629538,11.312963325,0.0,0.0,5.687386274680001,6.176298517439999,10.1143182688,0.0,18.4331366978,0.0,0.0,6.06636706846,11.6298185602,24.5231515258,22.831419145599998,5.687386274680001,5.26189155474,0.0,0.0,12.5971201404,7.10979754128,33.3739553891,0.0,11.8187331461,4.7368629538,18.8586314177,5.749511833280001,0.0,12.0331085901,12.5971201404,21.4454311363,11.126902983399999,12.1327341369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.886183626228274,29.530483040438398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,10,0,0,0,5,0,8,0,0,15,0,35,0,0,0,0,0,0,44,0,0,0,0,0,0,4,0,5,0,0,12,0,27,0,0,0,0,0,0,33,0,0,0,0,0,0,2,0,2,0,0,6,0,11,0,0,0,0,0,0,15,0,0,0,0,0,0
3,15,2.0908599999999997,3,1,2,37.79,88.3520792258,202.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.592113225716956,548.990029458,10.999635521070497,9.16486296272,9.16486296272,7.075387400469407,4.94032867938,4.94032867938,3.88136339351,3.88136339351,2.5972154383,2.5972154383,1.5699612759900001,1.5699612759900001,-1.77,9.77243877193,3.42204708807,1.72616553754,1,3,0.0,0.0,0.0,0.0,5.55926689505,0.0,9.89321899237,4.6818029351499995,0.0,0.0,6.06636706846,44.0308487194,11.7602950633,5.687386274680001,0.0,0.0,0.0,9.78048474345,0.0,20.771211599100003,0.0,51.4401033312,0.0,5.687386274680001,5.55926689505,0.0,0.0,0.0,9.78048474345,0.0,20.771211599100003,16.8208309782,29.0600054579,0.0,5.687386274680001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5573148148148146,32.27601851851851,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,6,0,0,0,8,2,6,0,0,50,7,40,0,0,1,11,0,0,15,0,0,0,0,0,0,6,2,4,0,0,39,7,29,0,0,1,8,0,0,13,0,0,0,0,0,0,4,2,2,0,0,18,4,11,0,0,1,3,0,0,5,0,0,0,0,0,1
4,21,1.5688,6,10,0,78.9,123.604833521,296.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.778496255967719,388.386905011,16.25071237662706,12.0788817759,12.0788817759,9.976294170287034,6.39375266206,6.39375266206,4.01611845141,4.01611845141,2.5750177830400003,2.5750177830400003,1.46915537303,1.46915537303,-2.37,18.63,10.421344960399999,7.7133462129299994,0,6,14.210588861400002,19.317730316800002,0.0,0.0,0.0,17.9079158639,0.0,14.3836115522,0.0,0.0,26.660544250500003,6.42082162293,18.2280603205,5.91790604616,28.594200413600003,17.9079158639,0.0,0.0,5.91790604616,19.4485252104,13.213763929,37.9648673713,0.0,0.0,0.0,0.0,0.0,0.0,37.2256461806,28.594200413600003,5.91790604616,13.3445588226,37.9648673713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66666666666666,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,10,0.716,4,5,0,74.6,58.4754733043,146.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0550899395377584,113.709505945,7.983127663125442,5.539350896669999,5.539350896669999,4.625897657686229,3.06256866715,3.06256866715,1.9945838676299998,1.9945838676299998,1.03128433358,1.03128433358,0.552451450306,0.552451450306,-1.06,8.94,4.78480679048,6.94,2,4,10.213054789700001,0.0,0.0,0.0,0.0,11.938610575899999,9.589074368139999,0.0,0.0,0.0,0.0,12.841643245899999,12.841643245899999,0.0,19.8021291578,11.938610575899999,0.0,0.0,0.0,25.683286491700002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1516653656,9.589074368139999,0.0,25.683286491700002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.333333333333336,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,4,6,0,3,0,1,4,4,0,0,0,0,0,0,0,0,1,0,6,11,0,9,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,6,8,0,5,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,4,3,0,4,0,0,0
6,15,2.3908,5,3,1,34.14,83.7108219859,216.158,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6972630824993016,368.00393265,11.474691494688166,7.5442481270899995,7.5442481270899995,6.90970216816285,4.09298538369,4.09298538369,2.8869138385400004,2.8869138385400004,1.73305205028,1.73305205028,0.97215614285,0.97215614285,-1.65,11.424906367,4.24909794417,3.19461723282,0,2,0.0,0.0,5.78324494636,5.78324494636,0.0,6.176298517439999,9.589074368139999,0.0,13.171245143,0.0,30.3318353423,0.0,5.5634514916999995,6.42082162293,22.7603195112,11.5664898927,0.0,0.0,0.0,12.5971201404,0.0,35.895286834000004,0.0,0.0,0.0,13.171245143,0.0,0.0,17.7427884102,4.794537184069999,0.0,16.778810298699998,30.3318353423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.470388321995465,20.27961167800453,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,7,0,0,1,12,0,13,0,0,15,0,15,0,0,0,0,0,0,20,0,0,0,0,0,1,9,0,10,0,0,14,0,14,0,0,0,0,0,0,16,0,0,0,0,0,1,3,0,4,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,1
7,10,3.1648,0,1,1,0.0,63.638692839499996,136.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525846811619927,151.421245511,7.5604779323150675,6.930721420319999,6.930721420319999,4.698377302757663,4.058730744619999,4.058730744619999,3.4639117278300007,3.4639117278300007,2.23421104334,2.23421104334,1.3468557071599998,1.3468557071599998,-0.52,7.58548523207,3.0462804076300003,1.7285097165599999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1515548267,24.6774553382,0.0,0.0,0.0,0.0,0.0,0.0,11.8358120923,26.6891176452,0.0,24.3040804273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8358120923,26.6891176452,24.3040804273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
8,15,3.8257,2,2,2,24.72,92.89753906530001,206.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7724612352891178,206.920507942,10.347088693804373,9.62019554124,9.62019554124,7.44948974278318,6.596604536849999,6.596604536849999,4.94186678422,4.94186678422,3.63000936686,3.63000936686,2.6169089745,2.6169089745,-0.62,10.8832459022,6.07024735928,3.79075080441,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.984809465269999,0.0,0.0,38.524929737600004,25.683286491700002,0.0,18.0920611944,0.0,6.00837953614,0.0,0.0,9.984809465269999,76.2918978876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0920611944,0.0,0.0,64.2082162293,9.984809465269999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.166666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,16,1.8679,4,3,2,47.89,93.2095566651,217.22400000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.232088986676556,448.591494126,11.380468888623982,8.84316686322,8.84316686322,7.808861750289881,4.99042894449,4.99042894449,3.1309342607499997,3.1309342607499997,2.00287701282,2.00287701282,1.2588919549700002,1.2588919549700002,-2.1,10.4188955452,4.61293654201,2.10765939685,0,4,9.4737259076,6.26208044842,5.69703931306,5.89774534436,0.0,5.969305287949999,0.0,9.786941916710001,0.0,0.0,18.199101205399998,19.0564713366,5.5634514916999995,6.606881964509999,14.268263091700002,11.8670506323,0.0,0.0,4.99240473264,6.92373719969,6.606881964509999,47.8544065955,0.0,0.0,0.0,0.0,0.0,0.0,18.4739325968,14.268263091700002,0.0,12.487188691400002,47.2833598364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.16666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0,0,3,14,0,14,0,0,14,0,14,0,0,0,0,0,0,14,0,0,0,0,0,2,9,0,9,0,0,11,0,11,0,0,0,0,0,0,11,0,0,0,0,0,1,3,0,3,0,0,8,0,8,0,0,0,0,0,0,8,0,0,0,0,0,1
