ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,24,3.1226,7,4,3,113.07,143.786313155,341.80199999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.954309964993332,867.354910959,17.10408352775558,12.738599696700001,13.494528642799999,11.524877143252587,7.1885219118,7.566486384810001,5.1567981525699995,5.5932339330400005,3.39577350066,3.647749816,2.33784160967,2.4638297673400005,-2.99,15.888649779300001,6.63621233906,3.4938493867,6,6,21.937865385300004,18.1742565756,0.0,5.94833928099,0.0,0.0,0.0,4.98397852095,4.98397852095,0.0,29.8000410956,29.8289197655,22.339838148600002,5.69392799485,4.7368629538,29.0545282237,0.0,9.96795704189,0.0,6.606881964509999,17.2010024315,59.2474978563,0.0,16.876414816700002,21.937865385300004,17.453588333499997,5.749511833280001,11.6009398902,9.96795704189,6.606881964509999,0.0,5.69392799485,48.5309365477,5.02263331374,11.126902983399999,0.0,0.0,5.940914021567964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.503530422876494,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,3,13,0,0,3,27,5,18,0,0,98,10,75,0,0,1,15,0,0,41,0,0,0,0,0,2,17,3,10,0,0,72,8,58,0,0,1,10,0,0,34,0,0,0,0,0,0,5,2,2,0,0,33,4,27,0,0,1,3,0,0,21,0,0,0,0,0,0
6,27,1.96042,8,3,2,98.77,159.340989156,395.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21502308648296,799.993710305,20.02673325856595,15.6752107995,16.4917073804,12.686377732905376,8.76714474851,10.2503079961,6.7463268714,8.460307227969999,4.2984884926,5.80430710951,2.44999789136,3.7617285590800007,-2.19,21.113952782200002,9.14278129408,6.179883255599999,1,7,9.4737259076,13.213763929,0.0,10.0232911534,0.0,11.938610575899999,9.589074368139999,13.139891848800001,0.0,0.0,36.771963041999996,31.8981145825,0.0,23.2760519738,27.4805972601,21.9619017293,0.0,4.72209486445,11.8358120923,38.1293575267,13.213763929,41.9809599792,0.0,0.0,4.72209486445,0.0,0.0,0.0,39.612012318400005,29.0860914292,18.759549292,25.831747514,41.312991963,0.0,0.0,0.0,0.0,-3.7836196801251365,0.0,0.0,0.0,0.0,0.0,0.0,25.360569990341816,50.006383023116655,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,6,1,8,0,0,11,19,4,21,0,0,15,0,15,0,0,0,0,0,0,18,0,0,0,0,0,8,12,3,13,0,0,14,0,14,0,0,0,0,0,0,14,0,0,0,0,0,4,5,1,5,0,0,8,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0
15,22,2.78552,7,4,2,62.72,138.348888034,335.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9660731616636982,665.682012706,15.94938298937633,12.2903804587,14.001304230599999,10.596555450524587,6.57810608525,7.904972492010001,4.51458691068,5.854309786259999,2.84990724098,4.05615829671,1.6474224869,2.43223524373,-1.99,16.3817093988,7.85929019459,4.50514813992,2,5,4.7368629538,17.2335409915,5.16765176958,0.0,5.907179729349999,0.0,20.6385247109,0.0,0.0,23.9655750259,29.8289197655,23.933618530300002,7.04767198268,0.0,9.53140013787,35.0404065249,0.0,10.8515827942,4.99240473264,13.5306191642,7.04767198268,51.7159482899,0.0,5.749511833280001,15.588445748,0.0,5.749511833280001,23.9655750259,18.122503481600003,6.606881964509999,6.92373719969,20.7985873612,40.7043028454,0.0,0.0,0.0,0.0,5.334100350999262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.72145520455629,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,11,3,11,0,0,1,13,0,13,0,0,43,0,43,0,0,3,14,0,0,43,0,0,0,0,0,1,9,0,9,0,0,30,0,30,0,0,3,5,0,0,30,0,0,0,0,0,1,4,0,4,0,0,16,0,16,0,0,3,0,0,0,16,0,0,0,0,0,0
20,25,2.8525,6,5,3,71.01,146.135521886,333.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7351982874386882,847.203123738,17.648053602125593,14.1777121455,14.1777121455,12.131030293135236,7.90200847975,7.90200847975,5.78024430357,5.78024430357,3.69729917055,3.69729917055,2.3489295806,2.3489295806,-3.28,16.5733367079,7.5262212684000005,4.17169779997,1,6,10.2166983349,12.1451828526,0.0,0.0,5.907179729349999,0.0,9.77851570502,9.96795704189,0.0,0.0,18.199101205399998,23.762552697100002,50.227057566300005,5.69392799485,4.794537184069999,11.7250425072,0.0,19.8518452937,0.0,6.544756405909999,19.4121325694,72.3124796806,0.0,11.257379486500001,5.316788604009999,5.81786277784,0.0,0.0,39.854368988400005,6.544756405909999,0.0,15.9214401675,61.185576697200005,0.0,11.257379486500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,18,2,7,0,0,2,13,0,6,0,0,96,8,20,0,0,0,7,0,0,18,0,0,0,0,0,1,9,0,6,0,0,68,5,16,0,0,0,4,0,0,14,0,0,0,0,0,1,6,0,3,0,0,36,2,9,0,0,0,1,0,0,9,0,0,0,0,0,0
27,22,2.6902,5,3,2,70.56,130.728162298,301.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8383797160630355,530.094848902,15.7862462825598,12.970452478699999,12.970452478699999,10.664703797946448,7.87795280805,7.87795280805,5.63900542291,5.63900542291,3.8496763376699996,3.8496763376699996,2.5163089441,2.5163089441,-2.17,16.204842499999998,8.31594600895,4.98478346766,2,5,5.316788604009999,0.0,0.0,0.0,0.0,11.814359458699998,9.589074368139999,5.425791397109999,5.10140752574,0.0,43.1734785882,38.1704751831,5.7116850027699995,6.04184082915,9.589074368139999,17.5260444615,0.0,10.742580001099999,5.10140752574,51.4905077664,0.0,35.895286834000004,0.0,0.0,10.742580001099999,0.0,0.0,0.0,17.5260444615,9.589074368139999,0.0,57.0539592581,35.433242868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,6,0,0,1,11,2,11,0,0,10,0,10,0,0,1,8,0,0,10,0,0,0,0,0,1,4,2,4,0,0,10,0,10,0,0,1,5,0,0,10,0,0,0,0,0,1,0,2,0,0,0,8,0,8,0,0,0,2,0,0,8,0,0,0,0,0,0
29,29,5.2377,7,10,2,68.82,179.91774519900002,463.37199999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1356796320042246,868.131035601,21.388540578131753,17.1737298628,18.7597264019,13.88777911060943,9.220363978139998,10.0133622477,6.62127360244,7.475610501619999,4.11516084942,4.704199392950001,2.5432691161900003,3.14715951756,-2.67,22.6173633622,10.7597808965,6.1544841625,2,6,24.8441660694,12.3563937978,11.499023666600001,5.907179729349999,0.0,0.0,4.794537184069999,0.0,0.0,0.0,26.502430189800002,45.7588636635,24.2164157952,24.3797008731,19.0051260455,33.2118961767,0.0,0.0,5.91790604616,20.3922308053,31.4600542551,53.022962140299995,0.0,17.2485354999,24.8441660694,11.374772549400001,17.2485354999,15.9299438979,26.7336567764,11.33929359,5.91790604616,19.4109258911,47.459510648599995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8053947434953236,61.57649534125965,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,2,16,0,0,2,12,2,18,0,0,46,10,65,0,0,1,12,0,0,71,0,0,0,0,0,1,9,2,13,0,0,28,8,34,0,0,1,9,0,0,39,0,0,0,0,0,1,5,0,9,0,0,13,7,13,0,0,0,3,0,0,16,0,0,0,0,0,1
32,18,1.8067400000000002,6,5,2,73.07,105.38124482299999,248.28599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.327423684064733,505.046004125,12.957819157813606,10.7270514682,10.7270514682,8.73638210521845,5.69766054606,5.69766054606,3.90376864986,3.90376864986,2.61359575911,2.61359575911,1.7924511353900001,1.7924511353900001,-1.95,12.5054484396,5.5917441099900005,2.48184204999,1,6,14.5767464948,17.905430271500002,0.0,0.0,0.0,0.0,0.0,9.96795704189,0.0,0.0,5.156663257130001,13.847474399400001,25.414849010500003,17.8642614511,9.25995789077,5.81786277784,0.0,15.124620299000002,0.0,13.847474399400001,25.5782245157,23.9783390601,0.0,11.126902983399999,5.316788604009999,5.81786277784,0.0,0.0,35.386056210700005,4.7368629538,13.847474399400001,11.454175413699998,17.047258583399998,0.0,11.126902983399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.172308201058201,34.66102513227513,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,1,2,0,0,4,21,1,5,0,0,55,0,11,0,0,0,2,0,0,1,0,0,0,0,0,2,15,1,4,0,0,43,0,11,0,0,0,2,0,0,1,0,0,0,0,0,1,8,0,3,0,0,23,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0
40,15,0.4423,5,3,1,103.78,86.7752856307,211.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.905062365401662,387.00882015199994,11.637828201504695,8.26639693491,8.26639693491,6.826204387599238,4.3587603259800005,4.3587603259800005,3.7224628725699995,3.7224628725699995,2.09974287619,2.09974287619,1.17862278729,1.17862278729,-1.75,11.3254716981,3.78086419753,2.59970332029,5,5,21.0532496617,5.53892525238,11.499023666600001,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,6.06636706846,24.6199228283,6.42082162293,0.0,20.114119368599997,5.969305287949999,0.0,0.0,5.73366747716,18.883484075,0.0,23.762552697100002,0.0,11.499023666600001,5.73366747716,0.0,11.499023666600001,0.0,26.8278127249,11.215358807000001,0.0,12.487188691400002,18.199101205399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41666666666667,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,7,3,1,5,3,3,3,6,0,15,13,15,15,0,5,10,8,0,20,18,0,3,0,0,2,3,2,3,3,0,14,11,14,11,0,3,8,5,0,17,14,0,2,0,0,2,3,2,3,3,0,6,5,6,5,0,2,6,4,0,7,6,0,1,0,0,0
45,31,-0.2054,11,6,3,154.83,179.29245846400002,439.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7944506498951391,769.523906583,22.706377823327536,17.6521932082,17.6521932082,14.794131415482815,10.6579051625,10.6579051625,7.97408330248,7.97408330248,6.28182142544,6.28182142544,5.00030536322,5.00030536322,-2.53,23.139814735999998,9.73267638406,4.566395647209999,3,11,19.6867806973,0.0,0.0,11.814359458699998,0.0,12.062545358900001,19.2835212831,10.2203285812,5.10140752574,0.0,0.0,26.6891176452,30.5130751239,43.6783304198,38.864929433600004,29.5885898204,0.0,10.325701128,28.773031710399998,51.7386936666,19.758520334900002,0.0,0.0,0.0,5.425791397109999,4.794537184069999,0.0,0.0,76.6680074513,23.8573374598,23.6716241846,39.5307608911,5.10140752574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.33333333333333,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,7,0,0,15,0,8,12,0,0,0,0,0,0,0,5,6,0,0,12,0,0,0,0,0,9,0,6,9,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
47,31,4.8271,7,6,4,79.58,180.648168323,416.481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6880853692052629,1050.93426632,21.63118126525103,17.184443170799998,17.184443170799998,15.131030293135236,10.4351346929,10.4351346929,7.57314419133,7.57314419133,5.47030337805,5.47030337805,3.89700184297,3.89700184297,-3.74,20.529456296099998,9.382151224400001,4.71382686764,0,7,4.89990973085,11.5052490525,0.0,0.0,11.594566004,0.0,19.8087651837,4.98397852095,0.0,0.0,36.398202410799996,49.091384634300006,30.9161749436,11.4680674547,9.717848232889999,23.099815056599997,0.0,4.98397852095,0.0,25.807221274699998,22.8893322735,94.16810257690001,0.0,0.0,9.7998194617,17.1926353272,0.0,0.0,28.903982110900003,6.544756405909999,10.1143182688,35.1839050362,72.9268813247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.99999999999999,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,0,15,0,0,1,12,0,6,0,0,104,0,45,0,0,0,0,0,0,59,0,0,0,0,0,1,8,0,3,0,0,61,0,33,0,0,0,0,0,0,45,0,0,0,0,0,0,2,0,1,0,0,33,0,19,0,0,0,0,0,0,25,0,0,0,0,0,1
