ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,31,5.6254,4,3,5,23.55,182.66513309799998,414.524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3201541301690192,1083.35924909,21.260937777247953,17.6359409222,17.6359409222,15.117723500579762,11.072862616300002,11.072862616300002,8.9285175444,8.9285175444,6.77693626234,6.77693626234,5.18673385959,5.18673385959,-3.14,19.801659386300003,8.18009751443,4.07052502004,0,3,9.7998194617,5.81722084105,0.0,0.0,5.907179729349999,0.0,4.794537184069999,4.3904150476699995,0.0,0.0,48.5309365477,60.7212031945,42.8448538594,0.0,9.18495223175,11.594566004,0.0,4.89990973085,5.4149904694,19.262464868800002,31.078935354499997,90.2434442227,0.0,11.126902983399999,4.89990973085,10.077801322400001,0.0,0.0,36.986115083899996,0.0,11.2322113104,29.6204535445,78.86277189,0.0,11.126902983399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.605903874920608,53.14409612507939,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1,19,0,0,0,2,1,3,0,0,79,6,81,0,0,0,2,0,0,87,0,0,0,0,0,0,1,1,2,0,0,63,4,63,0,0,0,0,0,0,65,0,0,0,0,0,0,0,1,0,0,0,35,1,35,0,0,0,0,0,0,36,0,0,0,0,0,0
11,21,3.48642,4,3,3,43.6,122.561141489,280.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.301302701549364,791.1602524089999,14.819626477379408,12.0368327066,12.0368327066,10.21954535281284,6.922681690780001,6.922681690780001,4.78032232178,4.78032232178,3.3611737344,3.3611737344,2.3957613458,2.3957613458,-2.62,13.367084453299999,5.40224136581,2.28897230634,0,4,4.7368629538,11.341105215599999,5.69392799485,0.0,0.0,5.969305287949999,4.40069460626,9.77851570502,0.0,0.0,36.398202410799996,25.477292959499998,11.7602950633,6.606881964509999,9.53140013787,11.616482508699999,0.0,9.38467312721,0.0,13.847474399400001,6.606881964509999,59.918792537399995,0.0,11.257379486500001,0.0,0.0,0.0,0.0,21.960860379699998,4.7368629538,6.92373719969,22.9756538703,48.6614130508,0.0,16.9045567073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80125,45.19875,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0,7,0,5,3,37,0,18,0,12,94,0,62,0,14,0,0,0,0,21,0,1,0,0,10,3,26,0,12,0,10,71,0,42,0,14,0,0,0,0,15,0,1,0,0,10,2,9,0,5,0,4,33,0,21,0,8,0,0,0,0,9,0,1,0,0,5,1
16,22,2.78552,7,4,2,62.72,138.348888034,335.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9660731616636982,665.682012706,15.94938298937633,12.2903804587,14.001304230599999,10.596555450524587,6.57810608525,7.904972492010001,4.51458691068,5.854309786259999,2.84990724098,4.05615829671,1.6474224869,2.43223524373,-1.99,16.3817093988,7.85929019459,4.50514813992,2,5,4.7368629538,17.2335409915,5.16765176958,0.0,5.907179729349999,0.0,20.6385247109,0.0,0.0,23.9655750259,29.8289197655,23.933618530300002,7.04767198268,0.0,9.53140013787,35.0404065249,0.0,10.8515827942,4.99240473264,13.5306191642,7.04767198268,51.7159482899,0.0,5.749511833280001,15.588445748,0.0,5.749511833280001,23.9655750259,18.122503481600003,6.606881964509999,6.92373719969,20.7985873612,40.7043028454,0.0,0.0,0.0,0.0,5.334100350999262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.72145520455629,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,11,3,11,0,0,1,13,0,13,0,0,43,0,43,0,0,3,14,0,0,43,0,0,0,0,0,1,9,0,9,0,0,30,0,30,0,0,3,5,0,0,30,0,0,0,0,0,1,4,0,4,0,0,16,0,16,0,0,3,0,0,0,16,0,0,0,0,0,0
22,20,3.7397,6,4,2,46.17,128.910552495,328.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.016593624554722,661.127092547,14.535169427003233,10.3065827521,12.6349372251,9.558550648063802,5.743825429559999,7.81868626857,3.97525668572,6.27001630997,2.4691083493400003,4.3378883849,1.55988565774,2.9635752739599996,-1.36,15.0369620169,6.8823504585699995,4.06587356816,1,3,5.316788604009999,5.75285360675,0.0,5.907179729349999,0.0,0.0,9.003435676239999,0.0,0.0,0.0,41.4009809858,30.3318353423,9.91811678926,21.5095886313,9.003435676239999,45.5960148274,0.0,0.0,0.0,4.89548347552,11.0696422108,58.57620317520001,0.0,0.0,5.316788604009999,5.687386274680001,0.0,23.2018797805,15.8689318283,15.594106227000001,0.0,0.0,53.426420023199995,10.0452666275,0.0,0.0,0.0,10.314588411645136,0.0,0.0,0.0,0.0,0.0,0.0,12.041100403124213,29.422088963008427,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,13,0,0,1,11,2,12,0,0,37,4,43,0,0,0,6,0,0,46,0,0,0,0,0,1,7,2,8,0,0,31,1,35,0,0,0,3,0,0,36,0,0,0,0,0,1,2,1,3,0,0,20,0,21,0,0,0,1,0,0,21,0,0,0,0,0,0
39,16,4.4883,2,1,3,15.79,98.6825885052,227.69400000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.150228179083263,589.535314052,10.957819157813606,8.57411689572,9.33004584173,7.8264998404949235,5.16504997993,5.5430144529400005,3.7771561753699996,4.21359195584,2.68519363567,2.93716995101,1.85832856648,1.98431672415,-1.73,9.49272091764,3.68949802112,1.5938103117700002,1,1,4.98397852095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9327752325,29.8289197655,21.619486240700002,0.0,0.0,22.5038648223,0.0,4.98397852095,0.0,0.0,0.0,59.6199369299,0.0,11.257379486500001,0.0,0.0,0.0,11.6009398902,4.98397852095,0.0,0.0,0.0,54.5973036162,5.02263331374,22.160304418600003,0.0,0.0,5.867626956132248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.076817488312198,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,12,0,0,0,0,0,0,0,0,91,13,65,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,68,10,46,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,37,6,23,0,0,0,0,0,0,21,0,0,0,0,0,0
41,53,-0.2584,17,22,2,278.38,311.65298248,753.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9949418741512568,1248.8752574999999,39.66419698114112,31.6568334986,31.6568334986,24.97938105903228,18.9796239501,18.9796239501,15.376360921600002,15.376360921600002,9.90329741724,9.90329741724,6.975914745660001,6.975914745660001,-3.83,45.3278686681,23.0633192565,17.242466660199998,11,17,52.953981285699996,0.0,0.0,29.5358986468,0.0,11.938610575899999,33.5617602885,0.0,0.0,0.0,40.5365920446,50.4846766129,62.4372470434,30.9053565089,48.881342473000004,41.4745092227,0.0,31.900731624000002,29.4052916618,140.995853249,19.6963947763,0.0,0.0,0.0,37.634399101199996,0.0,0.0,0.0,112.74153115799999,33.5617602885,23.6716241846,104.744808274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.50000000000006,2,1,1,0,0,0,0,0,2,2,7,5,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,15,6,2,15,0,23,21,13,6,0,0,0,0,0,12,16,7,5,25,17,2,14,0,1,9,0,12,14,6,2,0,0,0,0,0,4,10,1,1,15,12,2,9,0,1,2,0,10,7,2,2,0,0,0,0,0,3,4,0,1,6,6,0,6,0,1,0
45,18,2.48576,4,1,2,66.76,106.208643715,250.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6077816944424104,533.330908549,13.662772227887025,11.125137334300002,11.125137334300002,8.27638011184684,6.0166928123800005,6.0166928123800005,5.16935284163,5.16935284163,3.97204396367,3.97204396367,2.3982909820900002,2.3982909820900002,-1.71,12.7393147716,3.9012703591,1.63500141575,2,4,14.949917743499999,11.499023666600001,0.0,5.60105081098,0.0,5.969305287949999,0.0,4.794537184069999,0.0,0.0,0.0,50.8061248968,11.9842731146,0.0,19.7444549276,5.969305287949999,0.0,0.0,0.0,46.137642855600006,0.0,22.253805966799998,0.0,11.499023666600001,4.7368629538,0.0,11.499023666600001,0.0,21.783410888600002,11.215358807000001,20.771211599100003,35.5983647894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41666666666666,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,6,3,0,5,3,3,3,6,0,15,10,15,16,0,0,0,2,0,15,16,0,1,0,0,4,3,3,3,5,0,13,7,13,9,0,0,0,1,0,13,9,0,1,0,0,1,2,1,2,2,0,4,4,4,1,0,0,0,1,0,4,1,0,1,0,0,0
47,31,-0.2054,11,6,3,154.83,179.29245846400002,439.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7944506498951391,769.523906583,22.706377823327536,17.6521932082,17.6521932082,14.794131415482815,10.6579051625,10.6579051625,7.97408330248,7.97408330248,6.28182142544,6.28182142544,5.00030536322,5.00030536322,-2.53,23.139814735999998,9.73267638406,4.566395647209999,3,11,19.6867806973,0.0,0.0,11.814359458699998,0.0,12.062545358900001,19.2835212831,10.2203285812,5.10140752574,0.0,0.0,26.6891176452,30.5130751239,43.6783304198,38.864929433600004,29.5885898204,0.0,10.325701128,28.773031710399998,51.7386936666,19.758520334900002,0.0,0.0,0.0,5.425791397109999,4.794537184069999,0.0,0.0,76.6680074513,23.8573374598,23.6716241846,39.5307608911,5.10140752574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.33333333333333,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,7,0,0,15,0,8,12,0,0,0,0,0,0,0,5,6,0,0,12,0,0,0,0,0,9,0,6,9,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
54,14,1.3317,4,5,1,63.32,87.3099281517,211.28599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2550853978452547,289.43328939,10.38890505706126,7.719375623130001,8.53587220406,6.698377302757662,4.2995749636800005,5.45427550206,2.94545767913,3.9757144375199998,1.726160317,2.85843681236,0.9492677486769999,1.89178210368,-1.0,11.0769230769,5.671875,3.8062283737000002,3,3,10.840194872,6.04184082915,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,11.7618849494,0.0,30.3318353423,5.5634514916999995,11.5057072135,0.0,9.90106457891,17.7311902373,0.0,0.0,5.73366747716,11.794694435899999,5.75285360675,35.895286834000004,0.0,0.0,5.73366747716,0.0,0.0,11.7618849494,22.8705271187,10.5473907908,0.0,5.5634514916999995,30.3318353423,0.0,0.0,0.0,0.0,1.5369444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.963055555555556,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,2,8,3,1,1,0,1,0,1,0,15,2,15,11,0,0,0,0,0,27,17,0,2,0,0,1,0,1,0,1,0,15,0,15,7,0,0,0,0,0,23,12,0,1,0,0,1,0,1,0,1,0,10,0,10,5,0,0,0,0,0,13,7,0,1,0,0,0
58,14,-0.2926,4,9,0,64.52,86.711921929,204.31400000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3484664662044645,100.68962577799999,10.811554787871632,9.2917684165,9.2917684165,6.7779168675293695,5.464119306640001,5.464119306640001,3.48374009318,3.48374009318,2.41739703902,2.41739703902,1.22855932698,1.22855932698,-0.16,13.84,9.39715192623,6.317459477919999,4,4,20.8466319977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399400001,12.841643245899999,25.173194470100004,13.213763929,10.213054789700001,0.0,0.0,10.633577208,0.0,38.7727993035,26.303276740900003,0.0,0.0,0.0,10.633577208,0.0,0.0,0.0,48.6000131888,0.0,0.0,26.6891176452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.66666666666667,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,2,0,2,0,0,2,1,0,2,0,0,0,0,0,4,2,0,3,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
