,ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,0,15,1.2994,4,2,2,49.41,87.8830225918,204.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2710257522,388.83421189,10.8364988143,8.4349185728,8.4349185728,7.2363821052,4.9055054395,4.9055054395,3.375683035,3.375683035,2.4750790148,2.4750790148,1.6898938046,1.6898938046,-1.84,9.7050221839,3.7263265306,1.5829080578999999,1,4,5.316788604,6.0418408292,0.0,0.0,5.9071797294,6.0311145123,9.6944469149,4.7945371841,0.0,0.0,30.3318353423,12.487188691400002,6.5447564059,0.0,9.589074368099999,11.938294241700001,0.0,10.2166983349,0.0,12.965578028800001,6.5447564059,35.895286834000004,0,0.0,5.316788604,4.7945371841,0.0,0.0,23.382960378499998,4.7945371841,0.0,18.5290295205,30.3318353423,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,38.3333333333,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2,6,0,0,1,12,3,12,0,0,12,0,12,0,0,1,11,0,0,12,0,0,0,0,0,1,8,3,8,0,0,10,0,10,0,0,1,5,0,0,10,0,0,0,0,0,1,1,2,1,0,0,8,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0
12,12,14,1.5822,4,3,2,50.94,88.7299308987,211.334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9829425369,308.315797267,9.9662553263,8.5456963303,9.3621929112,6.7920249979,5.2670756891,6.08357227,3.8158203019999997,4.931020173299999,2.6392005394,3.5883168223000004,1.9176154437000001,2.8759401724,-0.61,9.9266246829,4.2752659546,2.0669559373,3,3,11.050456081199998,0.0,5.1315584798,0.0,0.0,0.0,0.0,4.983978521,0.0,11.336785877899999,6.923737199700001,32.228042897600005,10.918988022799999,5.6939279949,0.0,16.4683443578,0.0,10.300767125,0.0,38.648864520500005,12.278423883099999,10.5710751885,0,0.0,11.050456081199998,5.1315584798,0.0,11.336785877899999,17.570575756,12.841643245899999,0.0,30.3364556341,0.0,0.0,0.0,0,0,1.6540596655000002,0,0,0,0,0,0,0.0,25.5126070011,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,2,0,1,0,2,1,2,0,1,6,5,7,0,4,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,1,6,4,4,0,4,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,4,4,1,0,4,0,0,0,0,0,0,1,0,0,0,0
14,14,43,3.1928,11,5,7,118.21,259.4513361,654.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2481002605,1568.39423704,30.584693000799998,25.3159553959,26.901951935,20.3685708232,15.4718929469,16.264891216400002,13.6841158252,14.477114094700001,10.253525721399999,10.9303920831,8.1472436098,8.7209474959,-2.73,29.0071080813,9.8871320141,4.0350074587,3,10,20.307204250599998,12.0836816583,0.0,17.5393450527,11.8182256649,0.0,28.9202939677,0.0,0.0,0.0,45.9037030425,77.3451830004,35.952184619200004,10.5211020651,24.227001900900003,50.127512548199995,0.0,25.0004963175,17.7537181385,83.1397893074,20.1371847945,40.0052203146,0,0.0,5.316788604,0.0,0.0,15.9299438979,92.41051310790002,25.541296128899997,17.7537181385,58.0843166509,28.878317331199998,0.0,16.4760294622,0,0,0.0,0,0,0,0,0,0,0.9884415131000001,92.0621978658,0,1,0,0,0,1,1,0,0,0,3,3,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,16,0,1,8,0,6,15,0,0,28,14,25,0,4,6,17,0,0,51,0,6,0,0,0,5,0,3,12,0,0,27,7,23,0,0,3,9,0,0,38,0,2,0,0,0,0,0,2,3,0,0,16,4,13,0,0,0,2,0,0,21,0,1,0,0,0,0
22,22,26,3.0559,5,8,3,35.94,160.497857751,374.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6597658527,642.820470186,18.1920236765,15.0582104914,15.8141394374,12.775188245499999,9.2312990683,9.6092635413,6.578360067999999,7.0147958485,4.8605609612,5.1125372764999995,3.4998966075,3.6258847652,-1.43,19.3348680551,10.0467117382,5.2862364033,1,4,9.8433903486,0.0,0.0,0.0,0.0,0.0,9.7998194617,0.0,0.0,0.0,54.0655093695,23.259637120300003,37.7464153433,25.862486722699998,9.8433903486,11.6009398902,0.0,9.7998194617,0.0,6.0418408292,52.5444279231,70.7468399133,0,0.0,0.0,0.0,0.0,11.6009398902,67.4507747796,4.7368629538,0.0,17.1687438125,54.5973036162,5.0226333137,0.0,0,0,6.090422103300001,0,0,0,0,0,0,0.0,47.8540223412,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,3,12,0,2,1,0,1,0,0,0,51,20,51,0,20,2,0,0,1,51,0,20,0,0,1,1,0,1,0,0,0,39,12,39,0,12,0,0,0,0,39,0,12,0,0,0,0,0,0,0,0,0,22,5,22,0,5,0,0,0,0,22,0,5,0,0,0,0
36,36,34,5.857,6,7,5,41.03,197.39711040400002,461.556,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205663438,1240.4878972000001,23.4929885848,19.091255664400002,19.091255664400002,16.580520035899998,12.0083642214,12.0083642214,9.1880353035,9.1880353035,7.0581271416,7.0581271416,5.272878116499999,5.272878116499999,-3.25,22.5376921484,9.9351973435,4.8233105486,1,4,9.8838882518,11.6344416821,0.0,0.0,0.0,5.689743398200001,4.5670996478,13.5753672794,0.0,0.0,36.398202410799996,79.7531482918,25.0492596871,11.0334014352,8.780830095399999,11.0334014352,0.0,14.450987899600001,0.0,37.643033367,19.634269217699998,106.04203006899999,0,0.0,5.689743398200001,8.780830095399999,0.0,0.0,34.0852571173,0.0,11.6344416821,48.7699363504,77.5909420056,0.0,11.0334014352,0,0,0.0,0,0,0,0,0,0,28.8535164988,49.4798168345,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,3,21,0,6,1,13,1,13,0,3,95,2,101,0,10,2,26,0,8,90,0,3,0,0,12,1,10,1,10,0,3,71,1,77,0,7,1,9,0,4,73,0,3,0,0,8,0,4,1,3,0,3,40,1,44,0,5,1,1,0,2,42,0,2,0,0,6,0
42,42,24,5.1044,3,6,3,12.47,149.943790328,343.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7824946153,642.648137532,16.9933530637,14.542462956800001,15.298391902799999,11.593172145699999,8.7519691561,9.1299336291,6.8199632370000005,7.2563990175,5.2330654529,5.4850417682,3.6005427914999997,3.7265309492000003,-1.35,17.472303321600002,7.6893837364,3.8261641807999998,0,2,9.6367726847,5.601050811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0655093695,63.0382675774,17.6713561074,0.0,4.7368629538,11.6009398902,0.0,4.8999097309,0.0,37.8290937086,20.1993103531,70.7468399133,0,0.0,0.0,0.0,0.0,11.6009398902,31.1410609131,10.3379137648,0.0,37.3131050519,54.5973036162,5.0226333137,0.0,0,0,6.0679165949,0,0,0,0,0,0,0.0,40.6265278496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,13,0,1,0,12,1,13,0,1,50,0,50,0,0,0,1,0,0,62,0,1,0,0,0,0,11,0,12,0,0,35,0,35,0,0,0,1,0,0,41,0,1,0,0,0,0,5,0,6,0,0,21,0,21,0,0,0,1,0,0,21,0,0,0,0,0,0
47,47,21,4.1686,1,3,3,3.24,127.472433725,277.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0659497027000002,602.892919871,14.656489770599999,12.971793143,12.971793143,10.254020195399999,7.7693857016,7.7693857016,6.0240444501,6.0240444501,4.2035214253,4.2035214253,3.1035522229000003,3.1035522229000003,-1.86,14.0930999804,6.2759550302,3.0846273207999997,0,1,4.8999097309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.606956654499996,61.184719331000004,6.5447564059,0.0,0.0,5.5731045301,0.0,4.8999097309,0.0,19.262464868800002,20.6401003713,76.8607626213,0,0.0,0.0,0.0,0.0,0.0,25.540010102100002,12.841643245899999,0.0,28.6746275897,54.606956654499996,0.0,5.5731045301,0,0,0.0,0,0,0,0,0,0,0.0,38.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,15,0,1,0,0,0,0,0,0,43,6,64,0,6,0,3,0,0,79,0,9,0,0,0,0,0,0,0,0,0,31,1,50,0,1,0,1,0,0,62,0,4,0,0,0,0,0,0,0,0,0,15,0,23,0,0,0,1,0,0,29,0,1,0,0,0,1
49,49,26,2.5657,8,5,2,107.77,150.17864384,360.366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6992846837999998,824.725153148,19.4303569414,14.990561465399999,14.990561465399999,12.3109681679,7.996674565399999,7.996674565399999,5.6995111072,5.6995111072,4.0753790887,4.0753790887,3.0052119672,3.0052119672,-3.16,19.1685324985,7.8143304145000005,3.58425342,1,8,14.790514511600001,0.0,0.0,0.0,5.687386274700001,11.938610575899999,10.1143182688,9.589074368099999,0.0,0.0,12.1327341369,26.3346630908,23.526812763000002,35.7041056609,23.9861113246,17.6259968506,0.0,5.316788604,0.0,26.6891176452,13.716679505799998,62.48352572060001,0,0.0,5.316788604,5.687386274700001,0.0,0.0,30.5786011305,19.0628002757,10.1143182688,32.2525691369,46.8057559601,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,71.6666666667,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,12,0,0,6,0,0,0,0,0,15,0,33,0,0,0,10,0,0,54,0,0,0,0,0,3,0,0,0,0,0,15,0,31,0,0,0,6,0,0,45,0,0,0,0,0,2,0,0,0,0,0,10,0,18,0,0,0,2,0,0,24,0,0,0,0,0,0
63,63,28,2.3409,8,11,2,99.88,166.399198702,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8713190166999998,870.649809695,20.5707033329,16.4740692902,17.2905658712,13.3458851184,9.125002131799999,10.6713216098,6.3177261398,7.8475710821,4.077879102,5.0099653457999995,2.8066207095999998,3.5540568970999997,-2.29,22.0039065277,10.3078261297,6.400357156799999,3,7,19.5273774654,17.2518772733,11.499023666600001,10.0232911534,0.0,0.0,0.0,13.556770721900001,0.0,0.0,18.199101205399998,50.0972157879,12.5865972351,13.716679505799998,22.628385845700002,10.0232911534,0.0,5.316788604,5.1389737376,31.205620327,26.8683178762,48.0280209709,0,17.2485354999,24.666351203,0.0,17.2485354999,0.0,41.3279556897,16.444112776300003,0.0,19.4109258911,47.3600529547,0.0,0.0,0,0,-3.8415786629000004,0,0,0,0,0,0,23.4512971667,47.9736148296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,12,2,13,0,1,4,6,2,6,0,0,26,10,31,0,5,1,3,0,0,31,0,6,0,0,0,4,5,2,5,0,0,25,9,30,0,4,0,1,0,0,30,0,5,0,0,0,3,2,2,2,0,0,18,2,22,0,1,0,0,0,0,22,0,1,0,0,0,1
71,71,24,2.519,5,2,6,62.4,139.51552097,324.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3250102676,810.881161623,16.2587840661,13.4036447955,13.4036447955,11.686673185799998,8.7436156289,8.7436156289,7.361276902899999,7.361276902899999,5.9977730685,5.9977730685,4.8700081217,4.8700081217,-2.14,14.2239993803,5.178431117,2.1101132392,1,5,9.7208414748,11.887211334100002,0.0,0.0,0.0,5.969305287999999,9.6944469149,4.7945371841,0.0,0.0,18.199101205399998,18.9080103143,47.942999453999995,12.1082078976,14.3259373219,22.6554751664,0.0,9.8838882518,5.9179060462,43.8709345377,6.5447564059,36.0257633372,0,0.0,0.0,0.0,0.0,0.0,46.3688429381,9.5314001379,5.9179060462,36.0412751675,30.4623118455,0.0,10.902924932100001,0,0,0.0,0,0,0,0,0,0,0.0,53.1666666667,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,8,0,1,2,16,2,12,0,0,36,2,33,0,0,1,9,0,0,22,0,0,0,0,0,2,10,1,7,0,0,34,2,31,0,0,0,7,0,0,19,0,0,0,0,0,0,4,1,2,0,0,19,1,17,0,0,0,3,0,0,10,0,0,0,0,0,1
