,ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
1,1,23,1.8912,4,2,5,41.93,136.243880842,313.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7782656165000001,700.100295131,15.7672202346,13.6581530502,13.6581530502,11.1638690186,8.6896272177,8.6896272177,7.3421333545000005,7.3421333545000005,6.4342361725,6.4342361725,5.49716356,5.49716356,-1.52,13.8769918845,4.5167948118,1.5359735542,1,4,19.4801630333,12.2079327755,11.499023666600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2184072821,44.987627394300006,22.9381888364,6.6068819645,14.580253302400001,0.0,0.0,4.8999097309,5.9179060462,43.4301445196,20.1993103531,35.411677334000004,0,11.499023666600001,9.4737259076,0.0,11.499023666600001,0.0,48.4555210834,11.8358120923,5.9179060462,24.471461806,24.2847743506,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,46.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,8,0,1,3,0,0,0,0,0,10,10,20,0,5,1,2,0,0,21,0,5,0,0,0,1,0,0,0,0,0,10,8,20,0,4,1,2,0,0,21,0,4,0,0,0,1,0,0,0,0,0,8,1,12,0,1,0,1,0,0,13,0,1,0,0,0,1
2,2,13,1.5602,3,0,4,12.47,84.00272552189999,199.31900000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8336389068,214.97028536599998,8.8889050571,8.1610514019,8.9775479829,6.2844236088,5.3025158646,6.3512706546,4.6116810511,5.897544129500001,3.7858758485000004,5.006825599,3.0787450513,4.2502810924,0.27,8.5680496447,2.8780585729,1.2427607231,0,2,9.6367726847,5.435998371599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7618849494,0.0,38.7727993035,12.2976100127,5.601050811,4.7368629538,11.7618849494,0.0,4.8999097309,5.9179060462,30.8024296281,25.387122824499997,0.0,0,0.0,0.0,0.0,0.0,11.7618849494,41.3240817379,4.7368629538,5.9179060462,19.7653804455,0.0,0.0,0.0,0,0,1.9933796296000001,0,0,0,0,0,0,0.0,20.2566203704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,16,2.7322,5,2,2,66.56,96.8577759838,236.296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3629609267,490.43384909199995,11.7067423023,8.7523756563,9.5688722372,7.592224152899999,4.8535792,5.6700757809,3.5453752870999997,4.6607303587,2.4489931927,3.7353563257999998,1.5196773244,2.6213314466,-1.59,10.9122990456,4.1123363423,1.867897416,3,4,5.7336674772,0.0,0.0,0.0,0.0,6.0311145123,5.2072530248,4.7945371841,5.063217725,11.336785877899999,18.199101205399998,24.4426955511,9.5770671102,6.0418408292,10.0017902088,27.4540445212,0.0,5.063217725,5.7336674772,12.965578028800001,0.0,35.208982536,0,0.0,5.7336674772,4.7945371841,0.0,11.336785877899999,16.3015852621,0.0,0.0,17.8427252225,30.3318353423,0.0,10.086144130900001,0,0,1.5416666666999999,0,0,0,0,0,0,0.0,39.2916666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,9,2,9,0,0,1,0,2,0,0,0,28,12,28,0,0,1,0,0,0,28,0,0,0,0,0,1,0,2,0,0,0,28,5,28,0,0,1,0,0,0,28,0,0,0,0,0,1,0,2,0,0,0,18,1,18,0,0,1,0,0,0,18,0,0,0,0,0,0
4,4,33,4.2592,8,7,3,107.77,190.911077128,448.475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9452183879,1164.42942759,23.9574546789,18.5320133497,18.5320133497,15.828606258099999,10.2305081452,10.2305081452,7.3905551689,7.3905551689,5.220473611,5.220473611,3.7462628143,3.7462628143,-4.2,23.462843649899998,10.4079731448,5.3521657643000005,1,8,14.790514511600001,6.6068819645,0.0,0.0,5.687386274700001,11.938610575899999,10.1143182688,9.589074368099999,0.0,0.0,48.5405895861,31.0503974896,23.526812763000002,29.0972236964,23.9861113246,23.702016957399998,0.0,5.316788604,0.0,19.7653804455,13.716679505799998,104.454832661,0,0.0,5.316788604,5.687386274700001,0.0,0.0,30.5786011305,19.0628002757,10.1143182688,30.892283428899997,83.2136114092,0.0,6.0760201068,0,0,0.0,0,0,0,0,0,0,0.0,85.3333333333,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,5,19,3.25412,7,2,2,55.13,105.756647712,270.21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1246664711000003,587.767118497,14.043605595399999,9.7843549414,9.7843549414,8.8760286634,5.2760104152,5.2760104152,3.8248906289999995,3.8248906289999995,2.4654545118,2.4654545118,1.4576692471000001,1.4576692471000001,-2.31,13.1294507377,4.7530172185,2.9280963382,1,4,9.839883541,11.3236989106,0.0,0.0,5.9071797294,6.1762985174,4.7945371841,0.0,13.171245143,0.0,5.1566632571,31.1892054735,5.687386274700001,11.7602950633,22.488877264099997,11.594566004,0.0,5.1566632571,0.0,13.1000357171,5.316788604,47.349462247700004,0,0.0,5.316788604,18.8586314177,0.0,0.0,11.063842986500001,6.1762985174,6.923737199700001,21.6816875863,34.9854067824,0.0,0.0,0,0,0.0,0,0,0,0,0,0,41.778443658,19.8048896753,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,7,0,0,1,6,0,1,0,0,45,6,20,0,0,0,1,0,0,20,0,0,0,0,0,1,6,0,1,0,0,32,6,18,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,1,0,0,17,5,10,0,0,0,0,0,0,10,0,0,0,0,0,0
6,6,18,3.1672,4,4,2,54.37,108.705907006,260.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3304865919,572.484856975,13.1209558646,9.7907606204,10.6072572013,8.5922241529,5.5030910385,6.3827438498,3.9918138615,4.9395080545,2.7642094618,3.6328391287,1.6418412782,2.3276089783000002,-1.94,12.5151895317,5.1428560352999995,2.4858148137000002,1,3,5.1065273948000005,0.0,0.0,5.7832449464,0.0,5.969305287999999,9.589074368099999,0.0,0.0,11.336785877899999,24.2654682738,29.999985598800002,5.5634514916999995,10.7950532399,14.695601762999999,23.0893361123,0.0,0.0,0.0,12.841643245899999,0.0,57.782315358299996,0,0.0,0.0,0.0,0.0,11.336785877899999,16.8590776292,4.7945371841,0.0,33.640230607,41.7782651812,0.0,0.0,0,0,1.3805578651,0,0,0,0,0,0,0.0,46.1194421349,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,1,12,3,0,3,5,2,6,4,0,43,5,53,19,0,0,0,0,0,53,19,0,3,0,0,1,5,1,6,1,0,30,3,37,11,0,0,0,0,0,37,11,0,3,0,0,1,3,1,4,1,0,15,0,19,2,0,0,0,0,0,19,2,0,2,0,0,0
7,7,24,1.5346,5,3,4,68.36,140.900777697,325.41200000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7459623617,823.126274121,16.8445705038,14.0427979785,14.0427979785,11.579718698099999,8.507041770499999,8.507041770499999,7.0222558170000005,7.0222558170000005,5.2675124417,5.2675124417,4.0101002583,4.0101002583,-2.11,15.419590785999999,5.7565037999,2.3556579925,3,5,15.4072945198,0.0,0.0,5.9071797294,0.0,0.0,9.6944469149,0.0,0.0,0.0,18.2087542438,43.158605387200005,35.7282065679,12.5247880107,9.9010645789,22.3832091915,0.0,15.2006768558,5.9179060462,25.4282404809,20.1993103531,41.5988678672,0,0.0,5.316788604,0.0,0.0,0.0,53.180587387399996,11.215358807000001,5.9179060462,18.0506401831,30.471964883800002,0.0,16.4760294622,0,0,0.0,0,0,0,0,0,0,0.0,52.5,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,9,0,1,1,0,2,0,0,0,28,15,33,0,7,4,3,0,1,28,0,7,0,0,0,1,0,2,0,0,0,28,6,29,0,1,2,3,0,0,25,0,3,0,0,0,0,0,1,0,0,0,18,4,13,0,0,0,1,0,0,12,0,2,0,0,0,0
8,8,26,6.10372,2,3,3,37.3,156.128124365,348.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0860908097,883.1718169869999,19.275656403,16.4408838447,16.4408838447,12.0265111175,9.2144588582,9.2144588582,8.8415364174,8.8415364174,6.0032124184,6.0032124184,4.0167435063,4.0167435063,-2.35,18.4413546048,6.1200362738,3.0911329185,1,2,5.1065273948000005,0.0,0.0,0.0,0.0,5.969305287999999,0.0,4.7945371841,0.0,0.0,58.539352756199996,76.1184575098,0.0,5.5634514916999995,9.9010645789,11.542409818,0.0,0.0,0.0,58.290310183100004,0.0,76.3578470446,0,0.0,0.0,0.0,0.0,0.0,11.0758326828,10.8299809388,6.923737199700001,78.71183817890001,42.9771380944,0.0,5.5731045301,0,0,0.0,0,0,0,0,0,0,0.0,56.8333333333,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,17,3,0,1,0,1,0,1,0,53,5,78,23,0,0,0,0,0,100,25,0,3,0,0,1,0,1,0,1,0,39,4,62,18,0,0,0,0,0,72,18,0,3,0,0,1,0,1,0,1,0,19,1,29,8,0,0,0,0,0,34,8,0,1,0,0,0
9,9,15,1.7816,5,1,2,71.77,94.2967536902,266.098,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6848440577,536.108918936,10.8364988143,7.6975279741,9.2835245132,7.181540550399999,4.2896787144,5.0826769839,2.9822040145999997,3.7752022842,1.944788758,2.6804777904,1.2800179112999999,1.696721479,-1.62,9.9169844147,3.8600844793,1.9167513124000002,3,4,10.7176459981,4.4727195158,0.0,5.948339281,5.5592668950999995,0.0,4.7945371841,0.0,4.983978521,0.0,30.3318353423,21.4933953896,0.0,5.6939279949,0.0,21.8782831789,0.0,9.9679570419,0.0,0.0,5.7336674772,45.158358937299994,0,11.257379486500001,11.2929343722,5.948339281,0.0,15.9299438979,9.9679570419,0.0,0.0,0.0,39.5990920422,0.0,11.257379486500001,0,0,0.0,0,0,0,0,0,0,0.39157407409999995,34.0025179516,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,7,0,0,1,13,2,12,0,0,53,9,43,0,0,3,17,0,0,14,0,0,0,0,0,1,7,2,6,0,0,42,9,32,0,0,3,11,0,0,11,0,0,0,0,0,1,2,1,1,0,0,23,5,15,0,0,1,3,0,0,8,0,0,0,0,0,0
10,10,20,2.3949,5,0,5,53.99,118.37011434899999,282.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8371175334,451.54482686800003,14.1209558646,12.256419923,12.256419923,9.4617795165,7.713057919,7.713057919,7.135665932799999,7.135665932799999,5.9739593775,5.9739593775,4.7621946994,4.7621946994,-0.65,13.0436174046,3.9596227839,1.4606533273,0,5,9.4737259076,0.0,5.601050811,12.0771378819,0.0,5.969305287999999,4.7945371841,9.7751419065,0.0,0.0,13.847474399400001,32.1041081146,18.2566337152,5.9179060462,24.043404998200003,5.969305287999999,0.0,0.0,23.6716241846,64.1326867837,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.6474939808,24.043404998200003,23.6716241846,46.4544980908,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,43.8333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
