ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
13,70,9.065,14,24,6,169.88,409.49554595800004,951.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2089700617393313,2586.12913063,49.83127663125437,40.3185979304,40.3185979304,34.01880940374464,23.706264408899997,23.706264408899997,16.875486247999998,16.875486247999998,12.144469309100002,12.144469309100002,8.28952653757,8.28952653757,-7.74,51.6475084451,26.1341480229,13.928620150499999,2,14,34.480938754099995,23.961686118600003,6.606881964509999,11.814359458699998,0.0,23.939030376199998,14.488984099000001,19.178148736300002,0.0,0.0,141.092721815,78.1204667785,31.752130153699998,25.834540441799998,47.7146749196,35.7533898349,0.0,20.4333966697,0.0,77.48378938270001,40.4607462648,172.547476808,0.0,16.876414816700002,15.370440161800001,4.794537184069999,5.749511833280001,0.0,86.0139555614,46.416441185100005,0.0,97.06788043780001,144.730219349,0.0,11.126902983399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.33333333333331,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,30,4,38,0,0,18,48,3,58,0,0,120,0,129,0,0,2,33,0,0,176,0,0,0,0,0,9,24,2,32,0,0,96,0,98,0,0,2,14,0,0,124,0,0,0,0,0,4,4,2,8,0,0,59,0,59,0,0,0,3,0,0,69,0,0,0,0,0,1
27,13,0.0568,5,2,3,46.61,78.9899646791,205.27900000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0138019957767903,279.76426457,9.474691494688166,7.77044120167,8.5869377826,6.044624757173648,4.65071205363,6.4672086345599995,3.97683897981,5.57753736,2.8945526152700003,3.49133141987,2.24435544936,2.9113751796,-0.13,9.425991909630001,3.22006700617,2.2108164892400004,0,4,4.89990973085,0.0,0.0,0.0,10.118126859,0.0,4.1830854326499995,0.0,8.417796984330002,0.0,0.0,31.8490621038,6.544756405909999,12.359735571300002,12.600882417000001,10.118126859,0.0,4.89990973085,5.91790604616,18.9456096336,25.890038401199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3117115042,14.3012122917,5.91790604616,12.841643245899999,0.0,0.0,0.0,0.0,0.0,-3.2728703703703697,0.0,0.0,0.0,0.0,0.0,0.0,26.913192554799696,8.943011148904006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,3,0,3,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,0.4324,3,0,0,29.1,38.8932678292,137.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.847378923087672,44.9126093832,4.284457050376173,2.78621276347,4.37220930259,2.270055610029662,1.14310638174,1.93610465129,0.6506773361,1.04717647088,0.133066955743,0.691436184465,0.0,0.0,-0.05,4.95,2.20316455696,3.95,1,2,0.0,0.0,0.0,5.907179729349999,0.0,0.0,9.137405550499999,0.0,0.0,0.0,0.0,0.0,23.07094694,0.0,4.794537184069999,22.0543894696,0.0,4.34286836643,0.0,6.92373719969,0.0,0.0,0.0,0.0,4.34286836643,0.0,0.0,16.1472097403,5.907179729349999,4.794537184069999,0.0,6.92373719969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2013888888888893,11.001157407407408,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,18,1.8067400000000002,6,5,2,73.07,105.38124482299999,248.28599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.327423684064733,505.046004125,12.957819157813606,10.7270514682,10.7270514682,8.73638210521845,5.69766054606,5.69766054606,3.90376864986,3.90376864986,2.61359575911,2.61359575911,1.7924511353900001,1.7924511353900001,-1.95,12.5054484396,5.5917441099900005,2.48184204999,1,6,14.5767464948,17.905430271500002,0.0,0.0,0.0,0.0,0.0,9.96795704189,0.0,0.0,5.156663257130001,13.847474399400001,25.414849010500003,17.8642614511,9.25995789077,5.81786277784,0.0,15.124620299000002,0.0,13.847474399400001,25.5782245157,23.9783390601,0.0,11.126902983399999,5.316788604009999,5.81786277784,0.0,0.0,35.386056210700005,4.7368629538,13.847474399400001,11.454175413699998,17.047258583399998,0.0,11.126902983399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.172308201058201,34.66102513227513,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,1,2,0,0,4,21,1,5,0,0,55,0,11,0,0,0,2,0,0,1,0,0,0,0,0,2,15,1,4,0,0,43,0,11,0,0,0,2,0,0,1,0,0,0,0,0,1,8,0,3,0,0,23,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1
46,15,0.4423,5,3,1,103.78,86.7752856307,211.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.905062365401662,387.00882015199994,11.637828201504695,8.26639693491,8.26639693491,6.826204387599238,4.3587603259800005,4.3587603259800005,3.7224628725699995,3.7224628725699995,2.09974287619,2.09974287619,1.17862278729,1.17862278729,-1.75,11.3254716981,3.78086419753,2.59970332029,5,5,21.0532496617,5.53892525238,11.499023666600001,0.0,0.0,5.969305287949999,4.794537184069999,0.0,0.0,0.0,6.06636706846,24.6199228283,6.42082162293,0.0,20.114119368599997,5.969305287949999,0.0,0.0,5.73366747716,18.883484075,0.0,23.762552697100002,0.0,11.499023666600001,5.73366747716,0.0,11.499023666600001,0.0,26.8278127249,11.215358807000001,0.0,12.487188691400002,18.199101205399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41666666666667,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,7,3,1,5,3,3,3,6,0,15,13,15,15,0,5,10,8,0,20,18,0,3,0,0,2,3,2,3,3,0,14,11,14,11,0,3,8,5,0,17,14,0,2,0,0,2,3,2,3,3,0,6,5,6,5,0,2,6,4,0,7,6,0,1,0,0,1
52,19,1.5915,6,6,1,70.56,119.45216956700001,324.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37294358226554,500.41662597,14.087575669810528,10.2270966081,11.8130931472,9.113392202930193,5.56623530681,6.359233576369999,3.6177131767300006,4.53338870552,2.01622759321,2.50947923193,1.19955871945,1.6165040641,-1.95,15.1086510264,8.20434352097,6.51644145186,2,5,5.316788604009999,6.42082162293,0.0,11.814359458699998,0.0,0.0,9.589074368139999,5.425791397109999,5.10140752574,6.5789356836,34.1386981417,17.6961856286,11.017475921700001,6.21460057954,9.589074368139999,33.9589039362,0.0,10.742580001099999,5.10140752574,6.42082162293,6.544756405909999,46.9565950718,0.0,0.0,10.742580001099999,0.0,0.0,15.9299438979,24.573716444200002,9.589074368139999,0.0,11.9842731146,46.4945511059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9227586974505682,45.16415859594697,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,8,0,0,1,2,2,5,0,0,10,5,11,0,0,1,4,0,0,13,0,0,0,0,0,1,1,2,4,0,0,10,3,10,0,0,0,2,0,0,11,0,0,0,0,0,1,0,1,2,0,0,7,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0
58,14,1.3317,4,5,1,63.32,87.3099281517,211.28599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2550853978452547,289.43328939,10.38890505706126,7.719375623130001,8.53587220406,6.698377302757662,4.2995749636800005,5.45427550206,2.94545767913,3.9757144375199998,1.726160317,2.85843681236,0.9492677486769999,1.89178210368,-1.0,11.0769230769,5.671875,3.8062283737000002,3,3,10.840194872,6.04184082915,0.0,0.0,0.0,5.969305287949999,4.794537184069999,0.0,11.7618849494,0.0,30.3318353423,5.5634514916999995,11.5057072135,0.0,9.90106457891,17.7311902373,0.0,0.0,5.73366747716,11.794694435899999,5.75285360675,35.895286834000004,0.0,0.0,5.73366747716,0.0,0.0,11.7618849494,22.8705271187,10.5473907908,0.0,5.5634514916999995,30.3318353423,0.0,0.0,0.0,0.0,1.5369444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.963055555555556,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,2,8,3,1,1,0,1,0,1,0,15,2,15,11,0,0,0,0,0,27,17,0,2,0,0,1,0,1,0,1,0,15,0,15,7,0,0,0,0,0,23,12,0,1,0,0,1,0,1,0,1,0,10,0,10,5,0,0,0,0,0,13,7,0,1,0,0,0
62,14,-0.2926,4,9,0,64.52,86.711921929,204.31400000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3484664662044645,100.68962577799999,10.811554787871632,9.2917684165,9.2917684165,6.7779168675293695,5.464119306640001,5.464119306640001,3.48374009318,3.48374009318,2.41739703902,2.41739703902,1.22855932698,1.22855932698,-0.16,13.84,9.39715192623,6.317459477919999,4,4,20.8466319977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399400001,12.841643245899999,25.173194470100004,13.213763929,10.213054789700001,0.0,0.0,10.633577208,0.0,38.7727993035,26.303276740900003,0.0,0.0,0.0,10.633577208,0.0,0.0,0.0,48.6000131888,0.0,0.0,26.6891176452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.66666666666667,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,2,0,2,0,0,2,1,0,2,0,0,0,0,0,4,2,0,3,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
64,20,3.4920400000000003,5,3,3,63.84,116.229967457,266.30400000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0535142205277563,702.248265617,13.94938298937633,11.291340961300001,11.291340961300001,9.754020195423493,6.30786733293,6.30786733293,4.47521807852,4.47521807852,3.0514925871900003,3.0514925871900003,2.13790151545,2.13790151545,-2.69,12.3492460123,5.125791566,2.25218447352,1,5,9.83988354098,17.905430271500002,0.0,0.0,0.0,0.0,0.0,9.96795704189,0.0,0.0,23.3557644625,25.9802085363,17.447681338,11.257379486500001,4.52309493697,11.5052490525,0.0,15.124620299000002,0.0,13.847474399400001,5.316788604009999,54.310174402399994,0.0,11.126902983399999,5.316788604009999,11.5052490525,0.0,0.0,15.124620299000002,0.0,13.847474399400001,11.454175413699998,47.3790939257,0.0,11.126902983399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22156887755102,37.778431122448985,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,8,0,0,3,24,3,14,0,0,111,11,65,0,0,0,6,0,0,23,0,0,0,0,0,2,13,3,6,0,0,71,11,38,0,0,0,5,0,0,18,0,0,0,0,0,1,5,2,1,0,0,34,5,18,0,0,0,2,0,0,11,0,0,0,0,0,1
65,21,2.2824,6,3,3,57.18,126.52751965200001,290.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904192345702406,449.177476486,14.872032720186706,13.392922227,13.392922227,10.010951252362434,8.05376544607,8.05376544607,7.02232687528,7.02232687528,3.87641688227,3.87641688227,2.8623018014999997,2.8623018014999997,-1.59,14.351582035,5.6560788853999995,3.5423831566199993,1,6,15.1166080657,0.0,0.0,17.845017843,0.0,0.0,0.0,0.0,14.9519355628,0.0,0.0,46.4544980908,31.717950876,0.0,0.0,17.845017843,0.0,14.9519355628,0.0,51.9934233432,41.2956336894,0.0,0.0,0.0,15.1166080657,17.845017843,0.0,0.0,46.6698864389,0.0,0.0,46.4544980908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75000000000001,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,4,0,0,3,6,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
