ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
6,18,1.9056,4,6,2,57.28,106.96952192399999,248.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9143095421480512,493.254577902,12.957819157813606,10.8111273327,10.8111273327,8.664703797946451,6.26912435245,6.26912435245,4.722831932069999,4.722831932069999,2.74790280145,2.74790280145,1.79907863086,1.79907863086,-1.52,12.924574773900002,5.88724209084,3.2439068615099997,3,4,20.1441574736,18.4603601855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9138414678,18.199101205399998,29.686365738800003,0.0,9.84339034864,10.902924932100001,0.0,10.300767125,0.0,25.993281616300003,13.151638370399999,30.4623118455,0.0,5.749511833280001,10.0536515578,0.0,5.749511833280001,0.0,35.3879515031,0.0,0.0,13.847474399400001,30.4623118455,0.0,10.902924932100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.16666666666667,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,9,0,1,0,0,1,2,0,1,28,6,24,0,5,2,7,0,1,15,0,4,0,0,0,0,0,1,0,0,1,28,1,22,0,0,1,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,18,1,12,0,0,0,5,0,0,9,0,0,0,0,0,0
16,28,4.4547,11,3,3,78.16,165.590596076,432.185,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.094950993028052,1067.40627178,20.637463722575188,13.9730960426,15.4849539346,13.112410768570086,7.55631079852,8.31223974453,5.54888953341,6.36328978689,3.77251612059,4.34566060819,2.5167906270900002,3.0556169745700004,-2.78,19.9671977049,7.325918985639999,3.75973746448,1,6,15.2609045826,27.005407173200002,0.0,12.3936871432,5.907179729349999,6.176298517439999,4.794537184069999,4.98397852095,17.9016527849,0.0,23.2018797805,24.2654682738,10.949675706199999,12.797183815999999,27.4330529228,45.6993707166,0.0,4.98397852095,0.0,6.176298517439999,12.4265861453,63.169054555900004,0.0,5.749511833280001,14.7840591997,18.8586314177,5.749511833280001,23.2018797805,18.0009557916,6.176298517439999,5.207253024780001,16.0519166706,36.6591554171,10.0452666275,10.902924932100001,0.0,0.0,11.851717069339724,0.0,0.0,0.0,0.0,0.0,0.0,38.94029627430789,36.68020887857461,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,16,1,8,0,1,3,21,0,12,0,0,73,3,44,0,0,0,6,0,0,23,0,0,0,0,0,3,18,0,11,0,0,51,3,31,0,0,0,3,0,0,17,0,0,0,0,0,1,7,0,6,0,0,22,2,14,0,0,0,0,0,0,8,0,0,0,0,0,0
22,17,2.3451,2,0,4,6.48,105.34478335600001,234.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.561157944784887,262.646407085,11.242276208189779,10.9820028608,10.9820028608,8.415816237971963,7.897465253010001,7.897465253010001,6.8719929982000005,6.8719929982000005,5.96030708536,5.96030708536,5.25247480274,5.25247480274,-0.08,10.8070663376,4.23725042996,1.7554116893,0,2,0.0,0.0,0.0,0.0,0.0,0.0,9.7998194617,0.0,0.0,0.0,12.841643245899999,57.0294330188,25.173194470100004,0.0,0.0,0.0,0.0,9.7998194617,11.8358120923,57.0294330188,26.1790256237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.062526743599996,0.0,11.8358120923,44.945751360500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.833333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
28,26,6.1178,8,6,3,39.41,170.455168886,429.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8308384336402943,926.1905705419999,18.518297090128673,13.3721129541,16.3958287382,12.524877143252587,7.5663162471500005,9.078174139189999,5.4063349036099995,7.093606718029999,3.54347549106,4.67822721632,2.25839775682,3.2390131102599997,-1.72,19.0530239153,8.77968212445,4.92091198542,0,4,9.40468823153,12.3185669673,0.0,0.0,0.0,0.0,0.0,4.98397852095,0.0,0.0,57.625839356099995,30.3318353423,38.5884900678,17.8947097944,4.837588583740001,52.1154445637,0.0,9.55107816874,5.15571272675,13.151638370399999,0.0,86.33664586709999,0.0,0.0,0.0,0.0,0.0,46.4037595609,15.262763171500001,17.9892269542,0.0,11.126902983399999,60.2749223555,20.090533255,0.0,0.0,0.0,24.366979601541075,0.0,0.0,0.0,0.0,0.0,0.0,1.8634902045027104,34.38064130506731,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,12,0,5,0,7,0,7,0,0,21,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,3,0,0,21,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,1,0,0,13,0,13,0,0,0,0,0,0,13,0,0,0,0,0,1
42,10,0.3677,3,1,1,69.11,58.637648728,136.154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.069899265759275,257.537948926,7.5604779323150675,5.372349905599999,5.372349905599999,4.698377302757663,2.8528416194700004,2.8528416194700004,1.9897135617299997,1.9897135617299997,1.17114513817,1.17114513817,0.691937797115,0.691937797115,-1.51,6.6077856301499995,2.38963270744,1.2539046385200001,4,3,11.4673349543,0.0,0.0,5.907179729349999,0.0,0.0,4.794537184069999,0.0,0.0,0.0,6.06636706846,18.199101205399998,11.250837766400002,0.0,4.794537184069999,11.594566004,0.0,0.0,5.73366747716,0.0,5.73366747716,29.8289197655,0.0,0.0,11.4673349543,5.687386274680001,0.0,0.0,5.907179729349999,0.0,0.0,10.3579886758,24.2654682738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,6,0,0,0,6,2,6,0,0,15,9,15,0,0,1,3,0,0,15,0,0,0,0,0,0,6,2,6,0,0,13,9,13,0,0,1,3,0,0,13,0,0,0,0,0,0,3,1,3,0,0,7,6,7,0,0,0,3,0,0,7,0,0,0,0,0,0
64,22,3.4925,2,0,4,37.3,132.915204799,298.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6520192857313454,583.004889395,15.535169427003233,13.4764177506,13.4764177506,10.483112013795044,8.91831334018,8.91831334018,8.30303984283,8.30303984283,7.69044503195,7.69044503195,6.43390101735,6.43390101735,-1.07,14.517720418,4.7123736532,1.7524204432599997,1,2,5.1065273948400005,5.60105081098,5.78324494636,0.0,0.0,0.0,4.794537184069999,0.0,0.0,6.4233498956199995,18.417276048599998,74.69339565199999,11.8358120923,0.0,9.90106457891,5.78324494636,0.0,0.0,29.086614654,63.8913609941,0.0,11.6491246369,0.0,12.343784214500001,0.0,0.0,0.0,0.0,16.4908231522,4.794537184069999,41.4303988685,58.290310183100004,11.6491246369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666666666666,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1
73,31,3.8893,7,2,5,72.83,187.2273309,454.966,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6279380945612387,887.1954360999999,22.612519696192862,18.6726345176,19.4285634636,14.354791587262635,11.436909610399999,11.9714320943,11.2616412279,11.5289024698,9.57008814296,9.812827709039999,8.26768845454,8.46620991256,-0.82,21.9961004232,6.39827494143,2.43033879856,1,5,14.580253302400001,5.66875981875,22.9546518563,0.0,0.0,0.0,9.589074368139999,4.3904150476699995,0.0,11.6009398902,19.4205789295,57.945508667,23.1687086079,18.087936220499998,28.5597427183,23.167429783000003,0.0,0.0,22.6657930311,95.4847330941,5.88000344497,11.6491246369,0.0,0.0,0.0,4.3904150476699995,0.0,11.6009398902,51.817875290299995,19.0628002757,22.6657930311,66.2198785363,11.6491246369,0.0,0.0,0.0,0.0,6.046730512711528,0.0,0.0,0.0,0.0,0.0,0.0,17.207657964677644,52.94005596705528,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6,0,0,12,0,1,5,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
74,65,0.7117,18,3,3,319.61,380.53556069300004,924.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.859385458230072,1665.86799118,48.431781694642716,37.578252426,37.578252426,30.61549551441125,22.317847991399997,22.317847991399997,17.5676234447,17.5676234447,12.022113427999999,12.022113427999999,7.96937584244,7.96937584244,-3.44,55.8859408908,27.3917657446,18.6375679352,13,18,80.8529206356,18.1258388217,12.0771378819,0.0,0.0,11.938610575899999,9.589074368139999,0.0,0.0,0.0,98.9117558951,33.1099392682,37.519098584,79.6062927173,84.7083275266,11.938610575899999,0.0,0.0,23.4873856156,176.532063534,0.0,85.0642814957,0.0,0.0,5.73366747716,0.0,0.0,0.0,165.580953671,28.536526183299998,17.7537181385,79.0615217822,85.0642814957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.58333333333337,1,10,9,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,3,3,1,41,0,36,1,7,3,0,0,0,0,0,17,0,3,1,1,3,0,3,0,0,24,0,20,1,6,2,0,0,0,0,0,11,0,3,1,1,3,0,3,0,0,8,0,8,1,2,1,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0
78,10,-0.4945,5,3,0,66.4,64.0212262847,163.19799999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8334832964994012,147.828489575,8.146264369941973,5.4953808223000005,6.389808013300001,4.574586062669972,2.68368141388,3.31613694592,1.7739214967299999,2.1390698684,0.8581638882829999,1.2233122599500001,0.430834124379,0.678306474639,-0.71,9.29,4.16081913148,3.3419303254400003,2,4,10.4233159988,6.04184082915,0.0,5.907179729349999,0.0,5.969305287949999,4.794537184069999,4.794537184069999,12.628789148,0.0,0.0,0.0,12.676590806400002,0.0,14.695601762999999,24.5052741653,0.0,5.316788604009999,0.0,12.965578028800001,5.75285360675,0.0,0.0,0.0,5.316788604009999,0.0,0.0,12.628789148,28.777706848,9.589074368139999,0.0,6.92373719969,0.0,0.0,0.0,0.0,0.0,3.7340277777777784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.15486111111111,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,3,0,3,0,6,3,1,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,3,0,6,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
81,26,1.7816,5,2,4,94.83,154.030911126,362.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7350832012021689,683.888921754,18.905412915006316,15.7017429629,15.7017429629,12.170504622625403,9.95704749731,9.95704749731,9.55734013848,9.55734013848,8.65326658325,8.65326658325,7.28101986793,7.28101986793,-1.04,18.329215372100002,5.72762274029,2.13822915022,3,5,15.3195821845,12.2079327755,11.5664898927,0.0,0.0,0.0,9.589074368139999,0.0,0.0,0.0,19.4205789295,67.76965845229999,11.8358120923,6.10396638775,24.9086565527,11.5664898927,0.0,0.0,28.5836990773,70.4982429586,6.606881964509999,11.6491246369,0.0,0.0,0.0,0.0,0.0,0.0,45.1979712405,9.589074368139999,28.5836990773,58.7932257599,11.6491246369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.08333333333334,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,0,0,8,0,8,12,0,0,0,0,0,0,0,3,4,0,0,21,0,0,0,0,0,4,0,4,7,0,0,0,0,0,0,0,2,2,0,0,20,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1
