ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
0,6,0.1016,3,1,0,52.32,36.084093283200005,89.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8312571099313644,52.754887502200006,4.99156383156272,3.6009536313,3.6009536313,2.770055610029662,1.69270534084,1.69270534084,0.752048295621,0.752048295621,0.28659646573,0.28659646573,0.142258898432,0.142258898432,-0.73,5.27,2.50419203747,3.27,2,3,10.470530431,0.0,0.0,0.0,0.0,6.093240070939999,0.0,4.794537184069999,0.0,0.0,0.0,6.92373719969,0.0,6.606881964509999,9.53140013787,6.093240070939999,0.0,0.0,5.73366747716,6.92373719969,6.606881964509999,0.0,0.0,0.0,5.73366747716,4.794537184069999,0.0,0.0,12.7001220355,4.7368629538,0.0,6.92373719969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.666666666666668,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,3.9242,3,8,2,29.54,127.83977833799999,289.41900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7591075296118548,421.349396124,14.916002794556723,13.1441790651,13.1441790651,10.292024997884274,8.277634099930001,8.277634099930001,5.8018697916,5.8018697916,4.04668778444,4.04668778444,2.65841493524,2.65841493524,-1.35,16.0280288329,8.83066717585,5.50359356413,0,3,9.63677268465,5.749511833280001,5.78324494636,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,19.7653804455,56.6174459544,18.5290295205,6.606881964509999,9.53140013787,5.78324494636,0.0,4.89990973085,0.0,45.4486669372,26.2411511823,29.8289197655,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,0.0,36.924305859499995,0.0,0.0,55.806655613000004,24.2654682738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,1,9,0,1,1,6,0,9,0,0,15,0,25,0,0,0,0,0,0,32,0,0,0,0,0,1,6,0,7,0,0,14,0,21,0,0,0,0,0,0,25,0,0,0,0,0,1,3,0,3,0,0,9,0,10,0,0,0,0,0,0,11,0,0,0,0,0,1
2,19,3.9277,3,5,2,16.13,123.160237154,319.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2584751157266703,493.917199649,13.664925939000154,11.3827576491,12.9687541882,9.164703797946448,6.47708378031,7.27008204987,4.9506911871199994,5.86636671591,3.1821533688700003,3.7108188819,2.1497904176,2.41412317412,-1.19,14.2240003804,6.82618296636,4.14909977324,0,2,4.89990973085,0.0,0.0,0.0,0.0,0.0,4.98397852095,0.0,0.0,0.0,34.1290451033,56.889841759700005,22.2813971285,0.0,0.0,15.9299438979,0.0,9.8838882518,0.0,12.3387276691,20.6401003713,64.3915120532,0.0,0.0,0.0,0.0,0.0,15.9299438979,30.5239886231,0.0,0.0,23.5961071556,53.1341325667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.114472631645251,32.47968494110607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,8,0,1,0,4,0,0,0,0,50,0,12,0,0,0,6,0,0,18,0,1,0,0,0,0,4,0,0,0,0,33,0,10,0,0,0,3,0,0,16,0,1,0,0,0,0,3,0,0,0,0,20,0,8,0,0,0,1,0,0,10,0,1,0,0,0,1
3,31,2.4188,7,2,5,93.06,181.028695393,434.504,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6368996691130528,925.0303087130001,22.612519696192862,18.4823706161,18.4823706161,14.354791587262635,11.189452955899998,11.189452955899998,10.9257573956,10.9257573956,9.19174475479,9.19174475479,7.92617156842,7.92617156842,-1.41,21.4364698865,6.128734183500001,2.3077668757599996,2,6,19.6867806973,6.606881964509999,28.623411675,0.0,0.0,0.0,9.589074368139999,4.3904150476699995,0.0,0.0,18.5728618366,64.5244443506,16.747886985,12.2079327755,33.6662701131,11.5664898927,0.0,0.0,22.6657930311,82.6430898483,6.606881964509999,23.8011648506,0.0,0.0,0.0,4.3904150476699995,0.0,0.0,57.651281204700005,19.0628002757,22.6657930311,53.3782352905,23.8011648506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.13308834876543,61.95024498456789,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,5,0,0,17,0,6,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
4,23,-5.553,11,8,1,197.37,130.490265709,342.29699999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9065741684440822,376.018438362,17.73168632863937,12.0425761325,12.0425761325,10.776493325277775,6.84533603972,6.84533603972,5.117160918440001,5.117160918440001,3.5029102314999996,3.5029102314999996,2.09085488924,2.09085488924,-0.73,20.3149034576,8.93756523666,4.637265712940001,8,11,50.3259450663,49.3346466788,12.0732716757,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929,55.1204822504,5.78324494636,0.0,0.0,0.0,49.0177914436,19.8206458935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.47390144200001,14.268263091700002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.83333333333333,0,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,33,0,26,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
5,19,3.5537,2,5,2,20.31,116.361290995,259.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9288804066759144,403.775170874,13.664925939000154,12.1919607002,12.1919607002,9.202708600407233,7.559108514360001,7.559108514360001,5.67704350242,5.67704350242,4.07502943051,4.07502943051,2.8014165022000004,2.8014165022000004,-1.15,14.2631458042,6.85497147877,3.9042936622800006,0,2,4.89990973085,0.0,5.78324494636,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,44.5337642962,37.9154291723,18.026113943800002,0.0,4.794537184069999,5.78324494636,0.0,4.89990973085,5.91790604616,39.5307608911,19.634269217699998,35.3923712572,0.0,0.0,0.0,0.0,0.0,0.0,30.317423895,6.42082162293,5.91790604616,49.0313794356,24.2654682738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.833333333333336,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,8,0,1,0,6,1,8,0,1,15,0,21,0,0,0,7,0,0,28,0,1,0,0,0,0,6,1,8,0,1,12,0,18,0,0,0,4,0,0,24,0,1,0,0,0,0,3,1,5,0,1,8,0,12,0,0,0,1,0,0,13,0,0,0,0,0,1
7,22,4.3492,2,0,4,37.3,134.605582439,304.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64910523141337,495.93571238199996,15.750712376627062,14.5288239934,14.5288239934,10.278440544667593,9.51943141872,9.51943141872,9.66840371382,9.66840371382,9.04394131329,9.04394131329,7.288820600349999,7.288820600349999,-0.37,15.1749109673,4.586981677869999,1.79374900813,1,2,5.1065273948400005,5.78324494636,0.0,0.0,0.0,0.0,4.794537184069999,0.0,0.0,0.0,13.847474399400001,86.37109368360001,12.841643245899999,5.60105081098,9.90106457891,5.78324494636,0.0,0.0,34.501605123400005,84.1596570164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4908231522,4.794537184069999,34.501605123400005,78.5586062054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24999999999999,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1
8,21,2.9507,5,1,3,50.46,127.54445175,299.76099999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2718389699808066,738.442238025,14.819626477379408,11.506548889200001,12.2624778352,10.185871848001627,6.610875446440001,6.988839919439999,4.721214884569999,5.15765066504,3.34771200418,3.5828091069699997,2.35608450094,2.5281875248900003,-2.33,13.6438351579,5.57792482048,2.62316855505,1,4,10.5240416288,0.0,5.83561978576,12.256441408699999,0.0,0.0,0.0,4.99240473264,4.73883385359,0.0,29.8000410956,30.3318353423,17.633756788099998,11.250837766400002,4.73883385359,28.835630953400003,0.0,5.316788604009999,4.99240473264,0.0,13.592428388599998,69.8877258696,0.0,0.0,5.316788604009999,5.687386274680001,0.0,11.6009398902,29.8785670307,0.0,5.207253024780001,11.126902983399999,53.523341280299995,5.02263331374,0.0,0.0,0.0,6.102700731012568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.008410380098546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,12,0,0,0,0,0,0,0,0,52,2,52,0,0,0,10,0,0,52,0,0,0,0,0,0,0,0,0,0,0,36,2,36,0,0,0,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,19,1,19,0,0,0,0,0,0,19,0,0,0,0,0,0
9,14,0.0936,6,2,1,89.26,81.9733382214,214.24599999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0474861263650133,436.15912554199997,10.767584713501618,7.5197445078,8.33624108873,6.415520785076279,3.80574810867,5.28891135626,2.73072067189,4.4131229133,1.4684940281999999,2.91744821287,0.895124079251,1.88579974634,-1.56,10.5203858521,3.6669516894800003,2.46179545801,3,5,5.73366747716,0.0,0.0,5.907179729349999,10.0232911534,0.0,4.794537184069999,13.139891848800001,0.0,0.0,0.0,24.2654682738,12.611123474400001,4.89548347552,13.2123341684,21.617857157399996,0.0,4.72209486445,0.0,11.8192206752,5.73366747716,24.2654682738,0.0,0.0,10.4557623416,5.687386274680001,0.0,0.0,14.324976713699998,14.8178283375,0.0,6.92373719969,29.160951749400002,0.0,0.0,0.0,0.0,-3.731388888888889,0.0,0.0,0.0,0.0,0.0,0.0,22.762263794406646,24.385791761148912,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,2,6,0,0,3,17,5,17,0,0,14,3,14,0,0,1,8,0,0,14,0,0,0,0,0,3,13,3,13,0,0,11,3,11,0,0,0,7,0,0,11,0,0,0,0,0,2,4,2,4,0,0,7,2,7,0,0,0,3,0,0,7,0,0,0,0,0,0
10,24,1.3014,5,2,5,70.0,140.086091464,327.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7969480102820097,774.875447363,16.689869965382485,13.4946361817,13.4946361817,11.525840785378215,8.64748600821,8.64748600821,7.5612811118300005,7.5612811118300005,6.732356816719999,6.732356816719999,5.797327737540001,5.797327737540001,-1.85,14.4894228766,4.4055390675,1.38096905253,2,5,14.949917743499999,0.0,23.3862350007,0.0,0.0,0.0,9.69444691492,0.0,0.0,6.5789356836,12.1423871753,30.892283428899997,31.1156267556,11.0160412804,19.7444549276,5.78324494636,0.0,4.89990973085,0.0,48.845134988999995,13.0895128118,35.9145929107,0.0,11.499023666600001,4.7368629538,0.0,11.499023666600001,0.0,51.7325803066,16.6303492764,0.0,30.3893678522,24.7876899274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,8,0,1,6,6,5,6,0,0,15,12,15,0,0,3,7,0,0,20,0,0,0,0,0,4,5,3,5,0,0,13,9,13,0,0,2,6,0,0,16,0,0,0,0,0,1,3,1,3,0,0,6,7,6,0,0,0,4,0,0,6,0,0,0,0,0,0
